 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.980949942887201E+02 ,    -0.125527642775623E+02 ,     0.186015661982353E+03 ,     0.373603460431829E+02 ,     0.241679698507223E+04 ,    -0.283193843485977E+04 ,    -0.124169987526229E+03 ,     0.283452323222355E+04 ,     0.235200417182436E+02 ,    -0.104401832001885E+02 , 
   0.02000 ,    -0.784985472345362E+02 ,    -0.230810817934962E+02 ,     0.162878642519494E+03 ,     0.300410669479107E+02 ,     0.226187785255069E+04 ,    -0.261776557929280E+04 ,    -0.109373898868414E+03 ,     0.264298781434353E+04 ,     0.300255348548232E+02 ,    -0.838414497636156E+01 , 
   0.04000 ,    -0.338685139997759E+02 ,    -0.448715272630560E+02 ,     0.107056721592427E+03 ,     0.133282347877302E+02 ,     0.184071732262705E+04 ,    -0.205679087894670E+04 ,    -0.735036588265515E+02 ,     0.212886114971672E+04 ,     0.426493291303404E+02 ,    -0.370593410018717E+01 , 
   0.06000 ,     0.533317957109111E+01 ,    -0.574171892031028E+02 ,     0.489694079396593E+02 ,    -0.151420944840230E+01 ,     0.127033715593665E+04 ,    -0.134931404263914E+04 ,    -0.356266785596290E+02 ,     0.144867607708463E+04 ,     0.473090957195515E+02 ,     0.366445803606959E+00 , 
   0.08000 ,     0.173544552298742E+02 ,    -0.478448202923770E+02 ,     0.136778591691274E+02 ,    -0.647535081822839E+01 ,     0.702005874576953E+03 ,    -0.710844362836910E+03 ,    -0.115181037712451E+02 ,     0.791236455815208E+03 ,     0.361210499751821E+02 ,     0.148085207081445E+01 , 
   0.10000 ,     0.467851773552122E+01 ,    -0.218247844724340E+02 ,     0.534505949306089E+01 ,    -0.247333244946754E+01 ,     0.266659008592578E+03 ,    -0.275423007614487E+03 ,    -0.409537760121120E+01 ,     0.303661369190151E+03 ,     0.147320945407495E+02 ,    -0.148460835508972E+00 , 
   0.12000 ,    -0.125491581175748E+02 ,     0.243282398915557E+01 ,     0.990142702528308E+01 ,     0.317868519544489E+01 ,     0.266333155988371E+02 ,    -0.601448130752911E+02 ,    -0.517655938389611E+01 ,     0.416052561525572E+02 ,    -0.308083872373820E+01 ,    -0.233744435112244E+01 , 
   0.14000 ,    -0.168531838016846E+02 ,     0.105946378595877E+02 ,     0.109989516885895E+02 ,     0.427610012322537E+01 ,    -0.405234888617501E+02 ,     0.205259023613385E+01 ,    -0.520416663000494E+01 ,    -0.335546256639312E+02 ,    -0.782071986744865E+01 ,    -0.306691456131372E+01 , 
   0.16000 ,    -0.764453190187499E+01 ,     0.347057756236711E+01 ,     0.376148521977289E+01 ,     0.788262486997009E+00 ,    -0.149314468749560E+02 ,    -0.172219901927497E+01 ,    -0.129671741190351E+01 ,    -0.130891681267243E+02 ,    -0.170101809214807E+01 ,    -0.212017325415915E+01 , 
   0.18000 ,     0.246060971386203E+01 ,    -0.639292500166839E+01 ,    -0.484904336803313E+01 ,    -0.270349498120604E+01 ,     0.196475136098334E+02 ,    -0.130878100622939E+02 ,     0.284526836757054E+01 ,     0.175443331061279E+02 ,     0.524364380864748E+01 ,    -0.860434678632741E+00 , 
