r (Ang), PDF (RMC), PDF (Expt)
   1.9700000000000000       ,   0.63245297637361608       ,   0.72582261068113396     
   1.9800000000000000       ,   0.77248756764302984       ,   0.85618800233073900     
   1.9900000000000000       ,   0.88665671125021472       ,   0.98040418891956804     
   2.0000000000000000       ,   0.99900451733215989       ,    1.0961489457009299     
   2.0100000000000002       ,    1.0799714995881977       ,    1.2011049697727900     
   2.0200000000000000       ,    1.1709531490369018       ,    1.2930209109515300     
   2.0300000000000002       ,    1.2263231020915788       ,    1.3697848056942701     
   2.0400000000000000       ,    1.2808810475561569       ,    1.4294989875745501     
   2.0499999999999998       ,    1.3280468833735686       ,    1.4705541610444199     
   2.0600000000000001       ,    1.3433737553314484       ,    1.4916988978810599     
   2.0699999999999998       ,    1.3350034065355825       ,    1.4921011602449901     
   2.0800000000000001       ,    1.3100904030704681       ,    1.4713980605295400     
   2.0899999999999999       ,    1.2672170139884924       ,    1.4297307080210599     
   2.1000000000000001       ,    1.1870900279255319       ,    1.3677614353552401     
   2.1099999999999999       ,    1.1088120808591910       ,    1.2866713868131601     
   2.1200000000000001       ,    1.0108595433583349       ,    1.1881384192388700     
   2.1299999999999999       ,   0.91452685164027903       ,    1.0742939866800900     
   2.1400000000000001       ,   0.77557651028803110       ,   0.94766171576693303     
   2.1499999999999999       ,   0.63940194184728150       ,   0.81107860697890899     
   2.1600000000000001       ,   0.50869505793390224       ,   0.66760304536825499     
   2.1699999999999999       ,   0.35891486211998619       ,   0.52041267228328203     
   2.1800000000000002       ,   0.21737056947013730       ,   0.37269379644074202     
   2.1899999999999999       ,   7.48858439169939744E-002  ,   0.22754831692149799     
   2.2000000000000002       ,  -5.62331483978736404E-002  ,   8.78692497191139038E-002
   2.2100000000000000       ,  -0.15368654961077749       ,  -4.37383372649225999E-002
   2.2200000000000002       ,  -0.29030206877941944       ,  -0.16504078148014800     
   2.2300000000000000       ,  -0.39481462841444542       ,  -0.27423854971544698     
   2.2400000000000002       ,  -0.48178633253998110       ,  -0.37000913689709902     
   2.2500000000000000       ,  -0.54505130008323943       ,  -0.45152861146376599     
   2.2600000000000002       ,  -0.60444662303157315       ,  -0.51847129987625096     
   2.2700000000000000       ,  -0.64412759013009269       ,  -0.57098846518643698     
   2.2800000000000002       ,  -0.67870752391237588       ,  -0.60966742127371498     
   2.2900000000000000       ,  -0.69038939636370555       ,  -0.63547427702606696     
   2.3000000000000003       ,  -0.71852700668084968       ,  -0.64968393786533996     
   2.3100000000000001       ,  -0.71659658746172483       ,  -0.65380051951911899     
