 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.962554354518061E+02 ,     0.282854025745424E+02 ,     0.159712660426989E+03 ,     0.395094768541119E+02 ,     0.115111592490918E+04 ,    -0.146443083479465E+04 ,    -0.994756712499220E+02 ,     0.143074528842418E+04 ,    -0.914489230477871E+00 ,    -0.811916672526340E+01 , 
   0.02000 ,    -0.770380616486435E+02 ,     0.137081199101532E+02 ,     0.137620247258702E+03 ,     0.317118737354720E+02 ,     0.108869630136511E+04 ,    -0.135605366746766E+04 ,    -0.861952927542497E+02 ,     0.134486429247974E+04 ,     0.703426060335704E+01 ,    -0.656875726380842E+01 , 
   0.04000 ,    -0.332795242483201E+02 ,    -0.181653032357083E+02 ,     0.850312410226721E+02 ,     0.139221390357508E+02 ,     0.913123161580165E+03 ,    -0.107255784825485E+04 ,    -0.545214613374702E+02 ,     0.110945343224990E+04 ,     0.236877943821290E+02 ,    -0.303319951417248E+01 , 
   0.06000 ,     0.513650346743214E+01 ,    -0.420897908011634E+02 ,     0.322832687658321E+02 ,    -0.183431275041518E+01 ,     0.660475803084351E+03 ,    -0.715526287345545E+03 ,    -0.224988608338271E+02 ,     0.785342665718949E+03 ,     0.340564093381861E+02 ,     0.585647277136890E-01 , 
   0.08000 ,     0.168872064733598E+02 ,    -0.409459259817204E+02 ,     0.352391393540687E+01 ,    -0.702525756582026E+01 ,     0.388579804149020E+03 ,    -0.392684161594021E+03 ,    -0.439944072743515E+01 ,     0.454093710313720E+03 ,     0.288486746035406E+02 ,     0.909489339103754E+00 , 
   0.10000 ,     0.443513838461646E+01 ,    -0.190151523843726E+02 ,     0.116201472928466E+01 ,    -0.266863066891624E+01 ,     0.161528161817545E+03 ,    -0.169292452799879E+03 ,    -0.164455262141500E+01 ,     0.190509227279865E+03 ,     0.122202026484964E+02 ,    -0.357904425465261E+00 , 
   0.12000 ,    -0.124454877772935E+02 ,     0.409373570468806E+01 ,     0.945865829580272E+01 ,     0.339924503338527E+01 ,     0.233294016839298E+02 ,    -0.525863193371666E+02 ,    -0.520997567188908E+01 ,     0.352232988622884E+02 ,    -0.298219154445254E+01 ,    -0.210324131928277E+01 , 
   0.14000 ,    -0.166315124725690E+02 ,     0.118347461077521E+02 ,     0.116070350955865E+02 ,     0.455910779023650E+01 ,    -0.227575843494482E+02 ,    -0.105159648661866E+02 ,    -0.573045167301780E+01 ,    -0.179397327868977E+02 ,    -0.717716014411689E+01 ,    -0.275278727784304E+01 , 
   0.16000 ,    -0.758080899691527E+01 ,     0.390155820091135E+01 ,     0.374846444766797E+01 ,     0.812047696527435E+00 ,    -0.117448020038555E+02 ,    -0.348727379537966E+01 ,    -0.131871925199440E+01 ,    -0.107915399783073E+02 ,    -0.162170527512583E+01 ,    -0.207419968903464E+01 , 
   0.18000 ,     0.231524333864422E+01 ,    -0.683568744467188E+01 ,    -0.555530230390276E+01 ,    -0.291921610392252E+01 ,     0.924874056610508E+01 ,    -0.561862931071188E+01 ,     0.325595530089360E+01 ,     0.804257802706494E+01 ,     0.478079953322827E+01 ,    -0.107942462767669E+01 , 
   0.20000 ,     0.258319274921096E+01 ,    -0.855663007468775E+01 ,    -0.705724613141328E+01 ,    -0.275473439438641E+01 ,     0.114679109826473E+02 ,    -0.730815293332189E+01 ,     0.340489795539646E+01 ,     0.104901231105358E+02 ,     0.502039353613165E+01 ,    -0.844185380965118E+00 , 
   0.22000 ,    -0.529008070653366E+01 ,    -0.113878909075601E+01 ,    -0.690535918110740E+00 ,     0.398692327989221E+00 ,    -0.365979900099804E+01 ,    -0.715399464415971E+01 ,    -0.219008943617686E+00 ,    -0.278603369816909E+01 ,     0.930857439967921E-02 ,    -0.148128993125515E+01 , 
   0.24000 ,    -0.115637255550395E+02 ,     0.616593148386579E+01 ,     0.561229920161385E+01 ,     0.263614834300212E+01 ,    -0.175471247982581E+02 ,    -0.520421469599726E+01 ,    -0.311452653900435E+01 ,    -0.155485600187855E+02 ,    -0.406341257829306E+01 ,    -0.220198415702745E+01 , 
   0.26000 ,    -0.974137755663496E+01 ,     0.574009742285586E+01 ,     0.516807399037118E+01 ,     0.165440446396585E+01 ,    -0.171820302076744E+02 ,    -0.197127901632504E+01 ,    -0.222696730607581E+01 ,    -0.161782755412280E+02 ,    -0.305991378645557E+01 ,    -0.224783894283607E+01 , 
   0.28000 ,    -0.293707948015904E+01 ,    -0.833013566383988E+00 ,    -0.708581284770509E+00 ,    -0.102793666450853E+01 ,    -0.646642058817195E+01 ,     0.521116229310233E+00 ,     0.100067984331031E+01 ,    -0.746554303190762E+01 ,     0.113455796725223E+01 ,    -0.166045623973179E+01 , 
   0.30000 ,     0.772707231978948E+00 ,    -0.571995168867951E+01 ,    -0.509487462607638E+01 ,    -0.223323934801307E+01 ,     0.128263635172521E+01 ,    -0.852462199899005E-02 ,     0.276088028187067E+01 ,    -0.501544610864319E+00 ,     0.351086786752748E+01 ,    -0.113903029781442E+01 , 
   0.32000 ,    -0.232317147223438E+01 ,    -0.387288160017496E+01 ,    -0.343567926000746E+01 ,    -0.796702566254310E+00 ,    -0.144320962110074E+01 ,    -0.330573976628558E+01 ,     0.128938060907954E+01 ,    -0.204113444900732E+01 ,     0.170885090890673E+01 ,    -0.123525264552494E+01 , 
   0.34000 ,    -0.805584591274836E+01 ,     0.195863081622042E+01 ,     0.185495610967773E+01 ,     0.138885917827160E+01 ,    -0.981145424013711E+01 ,    -0.614946277681309E+01 ,    -0.144213979915603E+01 ,    -0.873060599004253E+01 ,    -0.179059817787376E+01 ,    -0.178575714327837E+01 , 
   0.36000 ,    -0.979119471847260E+01 ,     0.502686880521112E+01 ,     0.467422297752392E+01 ,     0.179496215310122E+01 ,    -0.138667401250163E+02 ,    -0.553548186429444E+01 ,    -0.227745022814279E+01 ,    -0.125222151873697E+02 ,    -0.293981334210062E+01 ,    -0.215265743768937E+01 , 
   0.38000 ,    -0.597282590223261E+01 ,     0.224983298535534E+01 ,     0.215241286262760E+01 ,     0.131324697959581E+00 ,    -0.989324039077630E+01 ,    -0.204993162164137E+01 ,    -0.463208665926406E+00 ,    -0.987819776796538E+01 ,    -0.717373328544803E+00 ,    -0.194892997984472E+01 , 
   0.40000 ,    -0.136404969998270E+01 ,    -0.280181930280173E+01 ,    -0.251352256904375E+01 ,    -0.153939316004582E+01 ,    -0.347005920341190E+01 ,     0.610074058056464E+00 ,     0.174390095049927E+01 ,    -0.475899361154814E+01 ,     0.206894582522544E+01 ,    -0.143826871300450E+01 , 
   0.42000 ,    -0.120497395708265E+01 ,    -0.437176546920010E+01 ,    -0.402623129136023E+01 ,    -0.132093385492836E+01 ,    -0.214408511920056E+01 ,    -0.344011282207198E+00 ,     0.184306963772673E+01 ,    -0.324336058403347E+01 ,     0.225544191821424E+01 ,    -0.120317688817401E+01 , 
   0.44000 ,    -0.533121347872047E+01 ,    -0.986931388164536E+00 ,    -0.939195748431897E+00 ,     0.394424339207713E+00 ,    -0.689211368208211E+01 ,    -0.371825587898210E+01 ,    -0.109587084946564E+00 ,    -0.662546865726587E+01 ,    -0.140738000962288E+00 ,    -0.148717584689588E+01 , 
   0.46000 ,    -0.876987814812099E+01 ,     0.324883012302808E+01 ,     0.301993460240469E+01 ,     0.154337305551559E+01 ,    -0.117535013606589E+02 ,    -0.571511989499891E+01 ,    -0.176412351171888E+01 ,    -0.105620339872933E+02 ,    -0.221764597026035E+01 ,    -0.194594804394383E+01 , 
   0.48000 ,    -0.766552840453151E+01 ,     0.356835490389453E+01 ,     0.339106748522520E+01 ,     0.849857309328719E+00 ,    -0.111532189297292E+02 ,    -0.421831318209663E+01 ,    -0.127487422589043E+01 ,    -0.104862731699145E+02 ,    -0.166322321470950E+01 ,    -0.205827017960872E+01 , 
   0.50000 ,    -0.354856242720810E+01 ,    -0.142694250405089E+00 ,    -0.396257850121933E-01 ,    -0.776155258511325E+00 ,    -0.609924695615977E+01 ,    -0.112955203561073E+01 ,     0.665942918280023E+00 ,    -0.671567231562552E+01 ,     0.701766372712380E+00 ,    -0.171308239646991E+01 , 
   0.52000 ,    -0.127339213662405E+01 ,    -0.350032938189977E+01 ,    -0.323627623677196E+01 ,    -0.141179599132466E+01 ,    -0.250110335605054E+01 ,    -0.138443944934362E+00 ,     0.177547627639918E+01 ,    -0.366636268777557E+01 ,     0.207255824203440E+01 ,    -0.131592167964061E+01 , 
   0.54000 ,    -0.332966274443100E+01 ,    -0.275626432818637E+01 ,    -0.262408057974136E+01 ,    -0.377770410246787E+00 ,    -0.414701127443778E+01 ,    -0.250631379052841E+01 ,     0.852184079634516E+00 ,    -0.456654577773400E+01 ,     0.952828677438794E+00 ,    -0.131516294418591E+01 , 
