Flight time (us) , Calculated , Experiment
   7927.6949999999997       ,   0.11631620884602219       ,   0.11710000000000000     
   7935.1330000000007       ,   0.11633182302356203       ,   0.11792999999999999     
   7942.5770000000002       ,   0.11639231039266100       ,   0.11592000000000000     
   7950.0289999999995       ,   0.11649523801078138       ,   0.11695000000000000     
   7957.4879999999994       ,   0.11664559728263146       ,   0.11624000000000000     
   7964.9539999999997       ,   0.11686264976640701       ,   0.11715000000000000     
   7972.4279999999999       ,   0.11719305499195240       ,   0.11817000000000000     
   7979.9080000000004       ,   0.11774532884535258       ,   0.11781000000000000     
   7987.3950000000004       ,   0.11877860421376756       ,   0.12143000000000000     
   7994.8890000000001       ,   0.12085858650708972       ,   0.12989000000000001     
   8002.3900000000003       ,   0.12500628616071366       ,   0.14044000000000001     
   8009.8970000000008       ,   0.13258297434654015       ,   0.16156999999999999     
   8017.4129999999996       ,   0.14458306344739869       ,   0.19936000000000001     
   8024.9360000000006       ,   0.16040162135160585       ,   0.25119000000000002     
   8032.4650000000001       ,   0.17702119417490114       ,   0.30800000000000000     
   8040.0019999999995       ,   0.18921725199269959       ,   0.34490999999999999     
   8047.5449999999992       ,   0.19067393156026075       ,   0.34000999999999998     
   8055.0969999999998       ,   0.17897109488842097       ,   0.29870999999999998     
   8062.6540000000005       ,   0.16055075799660512       ,   0.24809999999999999     
   8070.2180000000008       ,   0.14373412543487818       ,   0.20446000000000000     
   8077.7900000000000       ,   0.13217607307146514       ,   0.17435999999999999     
   8085.3699999999990       ,   0.12554592784166488       ,   0.15656000000000000     
   8092.9559999999992       ,   0.12211508451976529       ,   0.14352999999999999     
   8100.5490000000009       ,   0.12037021495144454       ,   0.13453000000000001     
   8108.1489999999994       ,   0.11943948555918169       ,   0.12881000000000001     
   8115.7550000000001       ,   0.11892708138078062       ,   0.12472000000000000     
   8123.3690000000006       ,   0.11867156451863764       ,   0.11927000000000000     
   8130.9910000000000       ,   0.11860609819321273       ,   0.11668000000000001     
   8138.6199999999999       ,   0.11870306245988606       ,   0.11497000000000000     
   8146.2559999999994       ,   0.11895706647215770       ,   0.11505000000000000     
   8153.9000000000005       ,   0.11938924839990574       ,   0.11459999999999999     
   8161.5509999999995       ,   0.12005549283820585       ,   0.11676000000000000     
   8169.2079999999996       ,   0.12109302127821904       ,   0.12046999999999999     
   8176.8719999999994       ,   0.12284514635904685       ,   0.12694000000000000     
   8184.5440000000008       ,   0.12615592171582996       ,   0.13741000000000000     
   8192.2240000000002       ,   0.13288007182598946       ,   0.15651000000000001     
   8199.9099999999999       ,   0.14636614714815210       ,   0.19084999999999999     
   8207.6030000000010       ,   0.17109638154546131       ,   0.25080000000000002     
   8215.3040000000001       ,   0.21037883429253401       ,   0.35059000000000001     
   8223.0129999999990       ,   0.26236142983804506       ,   0.49092999999999998     
   8230.7270000000008       ,   0.31723075490836095       ,   0.64458000000000004     
   8238.4489999999987       ,   0.35795572185729185       ,   0.72967000000000004     
   8246.1800000000003       ,   0.36372430656498561       ,   0.70099000000000000     
   8253.9160000000011       ,   0.32606939033380888       ,   0.58369000000000004     
   8261.6610000000001       ,   0.26534663265890368       ,   0.44068000000000002     
   8269.4120000000003       ,   0.20900074104402899       ,   0.32258999999999999     
   8277.1720000000005       ,   0.16963922377340351       ,   0.24117000000000000     
   8284.9380000000001       ,   0.14666229838950326       ,   0.18912999999999999     
   8292.7110000000011       ,   0.13450428485774338       ,   0.15790999999999999     
   8300.4899999999998       ,   0.12809508102066630       ,   0.14112000000000000     
   8308.2780000000002       ,   0.12441108382184748       ,   0.13039000000000001     
   8316.0740000000005       ,   0.12203018985604115       ,   0.12620999999999999     
   8323.8760000000002       ,   0.12034944753664376       ,   0.12235000000000000     
   8331.6859999999997       ,   0.11910081756412973       ,   0.11763999999999999     
   8339.5039999999990       ,   0.11814528820772392       ,   0.11675000000000001     
   8347.3279999999995       ,   0.11739887570114875       ,   0.11690000000000000     
   8355.1579999999994       ,   0.11680676064106166       ,   0.11488000000000000     
   8362.9979999999996       ,   0.11633427258678711       ,   0.11280000000000000     
   8370.8449999999993       ,   0.11596191235515814       ,   0.11015999999999999     
   8378.6989999999987       ,   0.11568013451658821       ,   0.11056000000000001     
   8386.5599999999995       ,   0.11550003957167104       ,   0.11083000000000000     
   8394.4300000000003       ,   0.11544286222018732       ,   0.10993000000000000     
   8402.3050000000003       ,   0.11561114315533304       ,   0.11137000000000000     
   8410.1890000000003       ,   0.11620491804863106       ,   0.11310000000000001     
   8418.0789999999997       ,   0.11753340862942982       ,   0.11637000000000000     
   8425.9789999999994       ,   0.11990003097871813       ,   0.12268000000000000     
   8433.8850000000002       ,   0.12333184666989847       ,   0.13189999999999999     
   8441.7960000000003       ,   0.12731641781397637       ,   0.14252000000000001     
   8449.7160000000003       ,   0.13076655727469250       ,   0.14973000000000000     
   8457.6440000000002       ,   0.13218178517814955       ,   0.15007000000000001     
   8465.5799999999999       ,   0.13040372042448273       ,   0.14307000000000000     
   8473.5230000000010       ,   0.12620421910486082       ,   0.13231000000000001     
   8481.4730000000000       ,   0.12167521823250915       ,   0.12803000000000000     
   8489.4300000000003       ,   0.11819690659768720       ,   0.12617000000000000     
   8497.3960000000006       ,   0.11602392446729064       ,   0.12125000000000000     
   8505.3680000000004       ,   0.11482734958101343       ,   0.12204000000000000     
   8513.3480000000000       ,   0.11419327334589822       ,   0.12273000000000001     
   8521.3359999999993       ,   0.11383640131207200       ,   0.12146999999999999     
   8529.3320000000003       ,   0.11361398672554726       ,   0.11847000000000001     
   8537.3339999999989       ,   0.11346868450035773       ,   0.11591000000000000     
   8545.3430000000008       ,   0.11337839308220002       ,   0.11483000000000000     
   8553.3610000000008       ,   0.11333233550127442       ,   0.11532000000000001     
   8561.3870000000006       ,   0.11332351467978974       ,   0.11509999999999999     
   8569.4189999999999       ,   0.11334735882989772       ,   0.11491000000000000     
   8577.4589999999989       ,   0.11340291103046375       ,   0.11448000000000000     
   8585.5060000000012       ,   0.11349701204375418       ,   0.11559999999999999     
   8593.5619999999999       ,   0.11364607546366715       ,   0.11562000000000000     
   8601.6250000000000       ,   0.11387602390496473       ,   0.11557000000000001     
   8609.6949999999997       ,   0.11423605750295995       ,   0.11552999999999999     
   8617.7729999999992       ,   0.11484422009506483       ,   0.11928999999999999     
   8625.8579999999984       ,   0.11599361547405324       ,   0.12379999999999999     
   8633.9520000000011       ,   0.11834255362842222       ,   0.13145999999999999     
   8642.0529999999999       ,   0.12311503299199858       ,   0.14368000000000000     
   8650.1610000000001       ,   0.13203342828289774       ,   0.16531999999999999     
   8658.2779999999984       ,   0.14655503929376035       ,   0.20147999999999999     
   8666.4009999999998       ,   0.16639229219193466       ,   0.25697999999999999     
   8674.5329999999994       ,   0.18828865399957426       ,   0.31918999999999997     
   8682.6709999999985       ,   0.20600212912315552       ,   0.35847000000000001     
   8690.8169999999991       ,   0.21145063681511339       ,   0.35565999999999998     
   8698.9719999999998       ,   0.19975283599479518       ,   0.31462000000000001     
   8707.1340000000000       ,   0.17680361286672913       ,   0.25895000000000001     
   8715.3019999999997       ,   0.15354395651100813       ,   0.20941000000000001     
   8723.4799999999996       ,   0.13626153199174662       ,   0.17305999999999999     
   8731.6660000000011       ,   0.12571066322726596       ,   0.14903000000000000     
   8739.8570000000000       ,   0.12001443109903109       ,   0.13561999999999999     
   8748.0560000000005       ,   0.11705479958690983       ,   0.12694000000000000     
   8756.2659999999996       ,   0.11542724777457782       ,   0.12064000000000000     
   8764.4809999999998       ,   0.11442456038489482       ,   0.11810000000000000     
   8772.7039999999997       ,   0.11374073230690099       ,   0.11511000000000000     
   8780.9340000000011       ,   0.11324764706945104       ,   0.11285000000000001     
   8789.1730000000007       ,   0.11288484044567995       ,   0.11201999999999999     
   8797.4189999999999       ,   0.11262696730680385       ,   0.11135000000000000     
   8805.6730000000007       ,   0.11243727601156679       ,   0.11075000000000000     
   8813.9339999999993       ,   0.11231113589871734       ,   0.11126000000000000     
   8822.2060000000001       ,   0.11224236302370065       ,   0.11126999999999999     
   8830.4829999999984       ,   0.11223170597984169       ,   0.11165000000000000     
   8838.7680000000000       ,   0.11228614594214956       ,   0.11088000000000001     
   8847.0600000000013       ,   0.11241991622094330       ,   0.11031000000000001     
   8855.3610000000008       ,   0.11266333289580255       ,   0.11121000000000000     
   8863.6700000000001       ,   0.11309140940874302       ,   0.11283000000000000     
   8871.9839999999986       ,   0.11389738595968975       ,   0.11572000000000000     
   8880.3090000000011       ,   0.11554457634174486       ,   0.12107999999999999     
   8888.6420000000016       ,   0.11897835980868326       ,   0.13031999999999999     
   8896.9820000000000       ,   0.12572316599957337       ,   0.14724999999999999     
   8905.3299999999999       ,   0.13747920024941593       ,   0.17466999999999999     
   8913.6859999999997       ,   0.15494739340423178       ,   0.22070999999999999     
   8922.0480000000007       ,   0.17635062170143556       ,   0.28094999999999998     
   8930.4179999999997       ,   0.19683903337866387       ,   0.33678999999999998     
   8938.7980000000007       ,   0.20904931087707201       ,   0.36051000000000000     
   8947.1849999999995       ,   0.20562647671682555       ,   0.33950000000000002     
   8955.5789999999997       ,   0.18697666692959825       ,   0.28910999999999998     
   8963.9830000000002       ,   0.16287032522850697       ,   0.23715000000000000     
   8972.3930000000000       ,   0.14232228405295647       ,   0.19681999999999999     
   8980.8099999999995       ,   0.12852991877834780       ,   0.17240000000000000     
   8989.2369999999992       ,   0.12062949888753696       ,   0.15647000000000000     
   8997.6700000000001       ,   0.11648565469905657       ,   0.14840999999999999     
   9006.1110000000008       ,   0.11430408528584322       ,   0.14291999999999999     
   9014.5630000000001       ,   0.11304301552417523       ,   0.13472999999999999     
   9023.0219999999990       ,   0.11221965304627449       ,   0.12734999999999999     
   9031.4870000000010       ,   0.11163567868206631       ,   0.12348000000000001     
   9039.9609999999993       ,   0.11120724733789178       ,   0.11948000000000000     
   9048.4399999999987       ,   0.11089222782331819       ,   0.11577000000000000     
   9056.9300000000003       ,   0.11066427765834394       ,   0.11495000000000000     
   9065.4290000000001       ,   0.11050575239217447       ,   0.11365000000000000     
   9073.9350000000013       ,   0.11040383319423384       ,   0.11215000000000000     
   9082.4480000000003       ,   0.11035366151756612       ,   0.11148000000000000     
   9090.9709999999995       ,   0.11035532188549686       ,   0.10993000000000000     
   9099.5000000000000       ,   0.11041743774808573       ,   0.10893000000000000     
   9108.0370000000003       ,   0.11055341323329114       ,   0.10983999999999999     
   9116.5819999999985       ,   0.11078264777119642       ,   0.10792000000000000     
   9125.1340000000000       ,   0.11114085549969882       ,   0.10944000000000000     
   9133.6970000000001       ,   0.11171241786743343       ,   0.11046000000000000     
   9142.2669999999998       ,   0.11271391055416506       ,   0.11155000000000000     
   9150.8459999999995       ,   0.11467758633802026       ,   0.11570999999999999     
   9159.4310000000005       ,   0.11873976616523832       ,   0.12470000000000001     
   9168.0240000000013       ,   0.12686444656497642       ,   0.13714000000000001     
   9176.6260000000002       ,   0.14152805264242296       ,   0.16081000000000001     
   9185.2339999999986       ,   0.16436477720425768       ,   0.20427999999999999     
   9193.8530000000010       ,   0.19410131503119366       ,   0.26565000000000000     
   9202.4779999999992       ,   0.22511592227916949       ,   0.33183000000000001     
   9211.1129999999994       ,   0.24783985308576550       ,   0.37003000000000003     
   9219.7569999999996       ,   0.25094948432588077       ,   0.35636000000000001     
   9228.4070000000011       ,   0.23024963491108560       ,   0.30064999999999997     
   9237.0660000000007       ,   0.19643298978038223       ,   0.24026000000000000     
   9245.7299999999996       ,   0.16407803439139915       ,   0.19223999999999999     
   9254.4059999999990       ,   0.14055507014527358       ,   0.15670999999999999     
   9263.0900000000001       ,   0.12629009265874372       ,   0.13528999999999999     
   9271.7810000000009       ,   0.11858909421675422       ,   0.12232000000000000     
   9280.4800000000014       ,   0.11456541885211220       ,   0.11506000000000000     
   9289.1869999999999       ,   0.11233269035900928       ,   0.11103000000000000     
   9297.9030000000002       ,   0.11093097936495702       ,   0.10746000000000000     
   9306.6250000000000       ,   0.10994332759394067       ,   0.10560000000000000     
   9315.3570000000000       ,   0.10919496904445339       ,   0.10495000000000000     
   9324.0980000000000       ,   0.10860478230256386       ,   0.10450000000000000     
   9332.8459999999995       ,   0.10812736355806522       ,   0.10493000000000000     
   9341.6029999999992       ,   0.10773283220768870       ,   0.10446999999999999     
   9350.3680000000004       ,   0.10739970580730603       ,   0.10385000000000000     
   9359.1419999999998       ,   0.10711137710497599       ,   0.10367999999999999     
   9367.9220000000005       ,   0.10685503701388424       ,   0.10270000000000000     
   9376.7109999999993       ,   0.10662244486970371       ,   0.10194000000000000     
   9385.5079999999998       ,   0.10641106507993631       ,   0.10244000000000000     
   9394.3150000000005       ,   0.10622055034890773       ,   0.10184000000000000     
   9403.1289999999990       ,   0.10604994505789758       ,   0.10116000000000000     
   9411.9510000000009       ,   0.10589663120251976       ,   0.10020999999999999     
   9420.7809999999990       ,   0.10575735280415291       ,   9.94613990000000059E-002
   9429.6209999999992       ,   0.10562730449459154       ,   9.91908979999999996E-002
   9438.4689999999991       ,   0.10550145745112280       ,   0.10083000000000000     
   9447.3230000000003       ,   0.10537553070891439       ,   9.89001989999999942E-002
   9456.1869999999999       ,   0.10524910791407899       ,   9.76478010000000063E-002
   9465.0599999999995       ,   0.10512578535553455       ,   9.88155010000000000E-002
   9473.9410000000007       ,   0.10500874605203109       ,   9.77858010000000055E-002
   9482.8279999999995       ,   0.10489888440125315       ,   9.80904999999999971E-002
   9491.7269999999990       ,   0.10479541966826829       ,   9.89845990000000064E-002
   9500.6329999999998       ,   0.10469723550699220       ,   9.89136030000000027E-002
   9509.5450000000001       ,   0.10460338188645663       ,   9.85585969999999978E-002
   9518.4680000000008       ,   0.10451329112890891       ,   9.95964039999999995E-002
   9527.3979999999992       ,   0.10442695444378745       ,   0.10138999999999999     
   9536.3379999999997       ,   0.10434481273436975       ,   0.10299999999999999     
   9545.2849999999999       ,   0.10426798169062686       ,   0.10435999999999999     
   9554.2410000000000       ,   0.10419805287047271       ,   0.10861999999999999     
   9563.2049999999999       ,   0.10413650551279861       ,   0.11453000000000001     
   9572.1769999999997       ,   0.10408339769741487       ,   0.12171999999999999     
   9581.1589999999997       ,   0.10403619628967414       ,   0.13014999999999999     
   9590.1470000000008       ,   0.10398824769476532       ,   0.13594000000000001     
   9599.1459999999988       ,   0.10393528325993845       ,   0.13630999999999999     
   9608.1520000000000       ,   0.10387096784740528       ,   0.13377000000000000     
   9617.1679999999997       ,   0.10379950574705009       ,   0.12553000000000000     
   9626.1910000000007       ,   0.10373145131518113       ,   0.11922000000000001     
   9635.2219999999998       ,   0.10367473609677995       ,   0.11382000000000000     
   9644.2619999999988       ,   0.10363239890826048       ,   0.11108999999999999     
   9653.3109999999997       ,   0.10360450831128677       ,   0.10839000000000000     
   9662.3690000000006       ,   0.10359031559703771       ,   0.10680000000000001     
   9671.4330000000009       ,   0.10358953802103803       ,   0.10567000000000000     
   9680.5079999999998       ,   0.10360282095710729       ,   0.10710000000000000     
   9689.5910000000003       ,   0.10363211876808889       ,   0.10700000000000000     
   9698.6820000000007       ,   0.10368154090934519       ,   0.10727000000000000     
   9707.7810000000009       ,   0.10375740161554274       ,   0.10564000000000000     
   9716.8889999999992       ,   0.10386761569140888       ,   0.10578000000000000     
   9726.0059999999994       ,   0.10402192974789484       ,   0.10804000000000000     
