 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.904791739147458E+02 ,     0.353303461438290E+02 ,     0.148056729538137E+03 ,     0.382585609121377E+02 ,     0.633996572164953E+03 ,    -0.957947456478553E+03 ,    -0.918073956146544E+02 ,     0.868286838261782E+03 ,    -0.110060918374338E+02 ,    -0.883502429628812E+01 , 
   0.02000 ,    -0.723852365517790E+02 ,     0.205962364052234E+02 ,     0.127133187419626E+03 ,     0.307479123708760E+02 ,     0.613840154990355E+03 ,    -0.886999455472240E+03 ,    -0.788569249101519E+02 ,     0.828726474764839E+03 ,    -0.220938232126287E+01 ,    -0.713131327904344E+01 , 
   0.04000 ,    -0.312037307661871E+02 ,    -0.120030124645722E+02 ,     0.775624009621130E+02 ,     0.136037250000690E+02 ,     0.549025430402690E+03 ,    -0.703912629249527E+03 ,    -0.482553560158351E+02 ,     0.714640267738778E+03 ,     0.166878469834783E+02 ,    -0.324968283949829E+01 , 
   0.06000 ,     0.489535103444551E+01 ,    -0.376292184531803E+02 ,     0.284944362874060E+02 ,    -0.160723134136134E+01 ,     0.435922986128262E+03 ,    -0.479250626974824E+03 ,    -0.181043734388760E+02 ,     0.543231937109116E+03 ,     0.299349727243034E+02 ,     0.138131541957383E+00 , 
   0.08000 ,     0.158332646713278E+02 ,    -0.390413750903872E+02 ,     0.283254326659299E+01 ,    -0.666814078638192E+01 ,     0.288838012475176E+03 ,    -0.282713218862202E+03 ,    -0.236753921501388E+01 ,     0.348379653845677E+03 ,     0.273626630389038E+02 ,     0.106727013549055E+01 , 
   0.10000 ,     0.397434360505805E+01 ,    -0.196424756067820E+02 ,     0.226848726029441E+01 ,    -0.253774369503456E+01 ,     0.143804269921838E+03 ,    -0.149329346481162E+03 ,    -0.174464732557786E+01 ,     0.174270722844292E+03 ,     0.124981052078088E+02 ,    -0.309970896912968E+00 , 
   0.12000 ,    -0.120018846715802E+02 ,     0.204227310564279E+01 ,     0.110622357008135E+02 ,     0.326582675813665E+01 ,     0.404401991278893E+02 ,    -0.747627493464843E+02 ,    -0.647988984568649E+01 ,     0.568122971904561E+02 ,    -0.198435297992607E+01 ,    -0.218612764985590E+01 , 
   0.14000 ,    -0.159492679303606E+02 ,     0.990156101938450E+01 ,     0.128896862340011E+02 ,     0.438001935560667E+01 ,    -0.389664183977873E+01 ,    -0.356693553793351E+02 ,    -0.699540344238197E+01 ,     0.517955780047522E+01 ,    -0.625526843804523E+01 ,    -0.285214455835270E+01 , 
   0.16000 ,    -0.739130254342147E+01 ,     0.307055605219523E+01 ,     0.445530565971878E+01 ,     0.791816971997274E+00 ,    -0.421618847603548E+01 ,    -0.131935827147005E+02 ,    -0.186695404280944E+01 ,    -0.699060755572338E+00 ,    -0.112389182680721E+01 ,    -0.208343390815503E+01 , 
   0.18000 ,     0.194644474015441E+01 ,    -0.663589745304454E+01 ,    -0.531969893922833E+01 ,    -0.278482961067737E+01 ,     0.711451290483935E+01 ,    -0.129466291624732E+01 ,     0.338038288244013E+01 ,     0.670853383549786E+01 ,     0.489513266294874E+01 ,    -0.100319058275032E+01 , 
   0.20000 ,     0.217446649820776E+01 ,    -0.808477569889520E+01 ,    -0.707976900241335E+01 ,    -0.262972405734004E+01 ,     0.659796368565351E+01 ,     0.350765906001736E+00 ,     0.369230202931721E+01 ,     0.535518278113050E+01 ,     0.496726983484962E+01 ,    -0.772525383121350E+00 , 
   0.22000 ,    -0.528306227443046E+01 ,    -0.103139270184010E+01 ,    -0.794326100929547E+00 ,     0.389359016392844E+00 ,    -0.622836087398011E+01 ,    -0.445363753176790E+01 ,    -0.184483270537212E+00 ,    -0.583471340413402E+01 ,    -0.284002158798119E-01 ,    -0.148313371432809E+01 , 
   0.24000 ,    -0.112091005851589E+02 ,     0.588686015083403E+01 ,     0.553314679807779E+01 ,     0.252983756093931E+01 ,    -0.168921193073144E+02 ,    -0.805960720685874E+01 ,    -0.333277276323436E+01 ,    -0.150481065002834E+02 ,    -0.403002720067898E+01 ,    -0.225801896995114E+01 , 
   0.26000 ,    -0.947052058999847E+01 ,     0.548375003315374E+01 ,     0.515521718935988E+01 ,     0.158525232194572E+01 ,    -0.150829400559631E+02 ,    -0.579854644457131E+01 ,    -0.241722791430356E+01 ,    -0.138744722979034E+02 ,    -0.299785187612867E+01 ,    -0.228489100085673E+01 , 
