 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.40000 ,    -0.154161262048129E+01 ,    -0.308319753357849E+01 ,    -0.235936042879862E+01 ,    -0.143741049051775E+01 ,     0.197055425578741E+01 ,    -0.324666938719259E+01 ,     0.169330152545262E+01 ,    -0.956135976573998E+00 ,     0.248493048572075E+01 ,    -0.144449434063807E+01 , 
   0.42000 ,    -0.142035188875159E+01 ,    -0.462939114261868E+01 ,    -0.406343709619123E+01 ,    -0.120885955817188E+01 ,     0.287128626652407E+01 ,    -0.346982869293465E+01 ,     0.182797228547908E+01 ,    -0.241462185498053E-01 ,     0.266847996171904E+01 ,    -0.120882066863919E+01 , 
   0.44000 ,    -0.533654554739550E+01 ,    -0.984096700039347E+00 ,    -0.107037584065367E+01 ,     0.389684861209764E+00 ,    -0.686873626564704E+01 ,    -0.362103809036635E+01 ,    -0.696997292569312E-01 ,    -0.664645927859583E+01 ,    -0.196538422502911E+00 ,    -0.148659047918683E+01 , 
   0.46000 ,    -0.857643925982276E+01 ,     0.345995847685807E+01 ,     0.297825519836753E+01 ,     0.143592594078428E+01 ,    -0.157025781085310E+02 ,    -0.335719532869262E+01 ,    -0.171205158039109E+01 ,    -0.129906533919181E+02 ,    -0.264525176647799E+01 ,    -0.194039077082310E+01 , 
   0.48000 ,    -0.750597482045068E+01 ,     0.372614863939156E+01 ,     0.349465877608248E+01 ,     0.767284993800639E+00 ,    -0.144314979359877E+02 ,    -0.228961436918759E+01 ,    -0.126045620882486E+01 ,    -0.125847514860112E+02 ,    -0.196155956566514E+01 ,    -0.205397101791263E+01 , 
   0.50000 ,    -0.359736753358821E+01 ,    -0.213282821105342E+00 ,     0.857129218085783E-01 ,    -0.743924110819504E+00 ,    -0.574738158612626E+01 ,    -0.106693895332925E+01 ,     0.640310176795540E+00 ,    -0.687674596466533E+01 ,     0.846683138622408E+00 ,    -0.171389158263106E+01 , 
   0.52000 ,    -0.145735040594956E+01 ,    -0.370817233490949E+01 ,    -0.323542283164412E+01 ,    -0.130951384298459E+01 ,     0.136583463283522E-01 ,    -0.105047159392298E+01 ,     0.174922762713930E+01 ,    -0.268525573102503E+01 ,     0.245583742491238E+01 ,    -0.131928779840471E+01 , 
   0.54000 ,    -0.343067768534484E+01 ,    -0.286588469942445E+01 ,    -0.274305176105948E+01 ,    -0.324379319648795E+00 ,    -0.312578696185996E+01 ,    -0.260948773729055E+01 ,     0.855303986547376E+00 ,    -0.432075504279027E+01 ,     0.112420395978893E+01 ,    -0.131581840921577E+01 , 
   0.56000 ,    -0.705440881438152E+01 ,     0.114507888857435E+01 ,     0.849685246896214E+00 ,     0.100000147659104E+01 ,    -0.107402170917974E+02 ,    -0.427119932329796E+01 ,    -0.913263832584953E+00 ,    -0.927767411274390E+01 ,    -0.145341434820010E+01 ,    -0.169340893920731E+01 , 
   0.58000 ,    -0.809515778655293E+01 ,     0.364598572852974E+01 ,     0.338008281059970E+01 ,     0.111512972803628E+01 ,    -0.138773500269877E+02 ,    -0.417398279558565E+01 ,    -0.149438558902453E+01 ,    -0.116764115839742E+02 ,    -0.227812259384026E+01 ,    -0.201142612905163E+01 , 
   0.60000 ,    -0.545958361048259E+01 ,     0.185477960659417E+01 ,     0.204916414736518E+01 ,    -0.663163059003832E-01 ,    -0.934320503330173E+01 ,    -0.232662959941071E+01 ,    -0.278152572532580E+00 ,    -0.898766152324222E+01 ,    -0.518564125676294E+00 ,    -0.190867553555996E+01 , 
   0.62000 ,    -0.231501515864226E+01 ,    -0.205652353210268E+01 ,    -0.147707094002813E+01 ,    -0.112940697770815E+01 ,    -0.273334462801984E+01 ,    -0.867880230205142E+00 ,     0.127284382273726E+01 ,    -0.448241289297239E+01 ,     0.166944063534200E+01 ,    -0.151125943060004E+01 , 
   0.64000 ,    -0.229795092067211E+01 ,    -0.358853919783581E+01 ,    -0.310313124592210E+01 ,    -0.847682261838059E+00 ,    -0.147201191557134E+01 ,    -0.173064639535130E+01 ,     0.138374022490022E+01 ,    -0.312683412986267E+01 ,     0.175130912066530E+01 ,    -0.127873987755489E+01 , 
   0.66000 ,    -0.532173275358790E+01 ,    -0.107338274586974E+01 ,    -0.102229613538790E+01 ,     0.405346527192019E+00 ,    -0.636346479071861E+01 ,    -0.430596390631825E+01 ,     0.159812562257896E-02 ,    -0.595533382289908E+01 ,    -0.283008205486066E+00 ,    -0.147341883954014E+01 , 
   0.68000 ,    -0.779270591751748E+01 ,     0.252402002592629E+01 ,     0.228866935928548E+01 ,     0.114036049667303E+01 ,    -0.111934238238217E+02 ,    -0.593349743105305E+01 ,    -0.121841777327376E+01 ,    -0.924696819159733E+01 ,    -0.202525762866870E+01 ,    -0.186306390688991E+01 , 
   0.70000 ,    -0.685177578896261E+01 ,     0.309522698217742E+01 ,     0.299183090054992E+01 ,     0.512307451413114E+00 ,    -0.102873859305952E+02 ,    -0.483472009731014E+01 ,    -0.874367695575882E+00 ,    -0.909291270110049E+01 ,    -0.150045420239846E+01 ,    -0.199386413633866E+01 , 
   0.72000 ,    -0.365977391451702E+01 ,     0.808252866204868E-01 ,     0.303422106728629E+00 ,    -0.714791965282140E+00 ,    -0.500317060882836E+01 ,    -0.216769489328567E+01 ,     0.583858312034704E+00 ,    -0.589979155252118E+01 ,     0.600268544907980E+00 ,    -0.171527376872268E+01 , 
   0.74000 ,    -0.196994984601005E+01 ,    -0.298017067486251E+01 ,    -0.265286416096097E+01 ,    -0.109347578370985E+01 ,    -0.183625863893070E+01 ,    -0.769900717953075E+00 ,     0.143060677257928E+01 ,    -0.372755924210950E+01 ,     0.181862958946901E+01 ,    -0.135184632195903E+01 , 
   0.76000 ,    -0.373188766415374E+01 ,    -0.257775811468184E+01 ,    -0.247611865815229E+01 ,    -0.191760712295458E+00 ,    -0.468436785061517E+01 ,    -0.196009707632172E+01 ,     0.685768063781769E+00 ,    -0.542266354131526E+01 ,     0.807663455301390E+00 ,    -0.132564747876305E+01 , 
   0.78000 ,    -0.685424463897785E+01 ,     0.753098189871496E+00 ,     0.602532936112731E+00 ,     0.921078863650888E+00 ,    -0.103579070038106E+02 ,    -0.407351706184039E+01 ,    -0.775048668225734E+00 ,    -0.926111887463727E+01 ,    -0.117012553291977E+01 ,    -0.166638751398491E+01 , 
   0.80000 ,    -0.768025279595161E+01 ,     0.310939209105664E+01 ,     0.301336416285848E+01 ,     0.943395155390612E+00 ,    -0.123887415196725E+02 ,    -0.444552244876200E+01 ,    -0.126855000959869E+01 ,    -0.109466920734833E+02 ,    -0.178533146768432E+01 ,    -0.197628374970987E+01 , 
   0.82000 ,    -0.525450005756249E+01 ,     0.175255218283814E+01 ,     0.197984646977499E+01 ,    -0.137435433024211E+00 ,    -0.854648449137085E+01 ,    -0.254985360700969E+01 ,    -0.255402240518803E+00 ,    -0.859903111472685E+01 ,    -0.355846645048078E+00 ,    -0.189174159288288E+01 , 
   0.84000 ,    -0.242006248832801E+01 ,    -0.174114127692140E+01 ,    -0.127894551332426E+01 ,    -0.104367745560280E+01 ,    -0.335044096087490E+01 ,    -0.617889434847335E+00 ,     0.106325818052744E+01 ,    -0.495341478779449E+01 ,     0.141446111138102E+01 ,    -0.150777270188734E+01 , 
   0.86000 ,    -0.249283882851921E+01 ,    -0.332249127003224E+01 ,    -0.296467466550438E+01 ,    -0.710937293914565E+00 ,    -0.279137882087618E+01 ,    -0.986543149790310E+00 ,     0.116096343754626E+01 ,    -0.423160672510759E+01 ,     0.146295382265884E+01 ,    -0.127063374285059E+01 , 
   0.88000 ,    -0.539157146369974E+01 ,    -0.115998265626823E+01 ,    -0.110398975460975E+01 ,     0.467327459874318E+00 ,    -0.744820828045917E+01 ,    -0.327795345629592E+01 ,    -0.503899464961691E-01 ,    -0.728103165512262E+01 ,    -0.240479756661204E+00 ,    -0.145900869517662E+01 , 
   0.90000 ,    -0.772445015169899E+01 ,     0.223775645123127E+01 ,     0.214590911257160E+01 ,     0.110387132455481E+01 ,    -0.119107380195948E+02 ,    -0.477027531347962E+01 ,    -0.114176128233299E+01 ,    -0.105824998508307E+02 ,    -0.169721338084147E+01 ,    -0.185544148764484E+01 , 
   0.92000 ,    -0.673955413493038E+01 ,     0.292330941642625E+01 ,     0.297932372471579E+01 ,     0.443455695640712E+00 ,    -0.110755593094249E+02 ,    -0.359824476739553E+01 ,    -0.839222208239261E+00 ,    -0.102965844166105E+02 ,    -0.122457523762813E+01 ,    -0.199513030517977E+01 , 
   0.94000 ,    -0.355320138754738E+01 ,     0.930954329636313E-01 ,     0.372884893881788E+00 ,    -0.748370135182601E+00 ,    -0.600459790573444E+01 ,    -0.103864663170876E+01 ,     0.501317711904518E+00 ,    -0.671538236153696E+01 ,     0.602647091806442E+00 ,    -0.170888577468265E+01 , 
   0.96000 ,    -0.188313560231736E+01 ,    -0.295646600219295E+01 ,    -0.267184599796719E+01 ,    -0.107347732340118E+01 ,    -0.262861830496301E+01 ,    -0.110681392003225E+00 ,     0.131718063681503E+01 ,    -0.397157780069250E+01 ,     0.164561996462249E+01 ,    -0.132725208924991E+01 , 
   0.98000 ,    -0.371846761527127E+01 ,    -0.264359896824284E+01 ,    -0.257522853066964E+01 ,    -0.137045132370583E+00 ,    -0.485574432476608E+01 ,    -0.202507023023239E+01 ,     0.658683035240223E+00 ,    -0.527746142692106E+01 ,     0.694243160592183E+00 ,    -0.129917802433440E+01 , 
   1.00000 ,    -0.694943602161581E+01 ,     0.703705936108719E+00 ,     0.626276942075582E+00 ,     0.975903635797347E+00 ,    -0.100580873772967E+02 ,    -0.464432134655498E+01 ,    -0.704998436437657E+00 ,    -0.915097810164618E+01 ,    -0.113796192121653E+01 ,    -0.166289323543765E+01 , 
   1.02000 ,    -0.776670170529298E+01 ,     0.316936250189721E+01 ,     0.323563583093931E+01 ,     0.952792529375262E+00 ,    -0.121291412177948E+02 ,    -0.488728528084155E+01 ,    -0.117524957409980E+01 ,    -0.110423637378157E+02 ,    -0.171811942957969E+01 ,    -0.199109940480272E+01 , 
   1.04000 ,    -0.511439825628593E+01 ,     0.179580036825312E+01 ,     0.215495333887885E+01 ,    -0.207573129652436E+00 ,    -0.856934418506986E+01 ,    -0.238714958099740E+01 ,    -0.183561852658059E+00 ,    -0.858963829808964E+01 ,    -0.372983394205324E+00 ,    -0.188758400852896E+01 , 
   1.06000 ,    -0.201832288959701E+01 ,    -0.188975814895262E+01 ,    -0.144065247789457E+01 ,    -0.116545049597670E+01 ,    -0.340948326791440E+01 ,    -0.896604899019068E-01 ,     0.113185201435405E+01 ,    -0.445527416393728E+01 ,     0.132872862169801E+01 ,    -0.146115583141515E+01 , 
   1.08000 ,    -0.214140862367034E+01 ,    -0.354974030916716E+01 ,    -0.336158155860484E+01 ,    -0.783071576236854E+00 ,    -0.256126816726050E+01 ,    -0.916205870417125E+00 ,     0.123140344487103E+01 ,    -0.334364637219064E+01 ,     0.139448213605796E+01 ,    -0.121200409714846E+01 , 
   1.10000 ,    -0.546796745358346E+01 ,    -0.109682262215554E+01 ,    -0.127485887395508E+01 ,     0.531077255208396E+00 ,    -0.692270121904241E+01 ,    -0.426466759087148E+01 ,    -0.294997375179250E-01 ,    -0.649806011499076E+01 ,    -0.274242964205370E+00 ,    -0.144560518920864E+01 , 
   1.12000 ,    -0.816757398614602E+01 ,     0.272599014326488E+01 ,     0.244511009461086E+01 ,     0.125449728731271E+01 ,    -0.112279715570925E+02 ,    -0.651756228643709E+01 ,    -0.119681220591270E+01 ,    -0.100620168408670E+02 ,    -0.174871208247413E+01 ,    -0.189696025027949E+01 , 
   1.14000 ,    -0.696456258430719E+01 ,     0.340381612528745E+01 ,     0.335548751567374E+01 ,     0.503654169162169E+00 ,    -0.100919712796400E+02 ,    -0.518129033175105E+01 ,    -0.880165302684228E+00 ,    -0.942595666395126E+01 ,    -0.129721882222861E+01 ,    -0.202439356990847E+01 , 
   1.16000 ,    -0.305745813033820E+01 ,    -0.351444825067495E-01 ,     0.183695468821084E+00 ,    -0.901372991811107E+00 ,    -0.437473686473497E+01 ,    -0.192351859138177E+01 ,     0.608718344525322E+00 ,    -0.473538782883349E+01 ,     0.587683298128956E+00 ,    -0.165087484730175E+01 , 
   1.18000 ,    -0.940949666479983E+00 ,    -0.366375232083587E+01 ,    -0.346094173140953E+01 ,    -0.132992426056747E+01 ,    -0.447197704211002E+00 ,    -0.799043650299925E+00 ,     0.155600192755488E+01 ,    -0.109807570699979E+01 ,     0.171847725827491E+01 ,    -0.119844435121771E+01 , 
