 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.943530956783907E+02 ,    -0.145568738423728E+02 ,     0.210258137384702E+03 ,     0.369883604155650E+02 ,     0.440831332505893E+04 ,    -0.481966706345058E+04 ,    -0.134083737952694E+03 ,     0.486456873933385E+04 ,     0.205492418688356E+02 ,    -0.842832729248795E+01 , 
   0.02000 ,    -0.756462503596178E+02 ,    -0.257080983423553E+02 ,     0.182953281581268E+03 ,     0.296078450614019E+02 ,     0.408210038189576E+04 ,    -0.443504787778079E+04 ,    -0.117473304657702E+03 ,     0.449331283862228E+04 ,     0.276393907525582E+02 ,    -0.689515046224399E+01 , 
   0.04000 ,    -0.330247541541895E+02 ,    -0.482935695277118E+02 ,     0.117026719869532E+03 ,     0.127923718780157E+02 ,     0.321408237547440E+04 ,    -0.342854753683074E+04 ,    -0.771946009092508E+02 ,     0.351211737559923E+04 ,     0.413796492981458E+02 ,    -0.338118822687065E+01 , 
   0.06000 ,     0.446640671125124E+01 ,    -0.598062175687944E+02 ,     0.483796219165242E+02 ,    -0.203723699504002E+01 ,     0.208680861262852E+04 ,    -0.216373738272473E+04 ,    -0.346846100931308E+02 ,     0.225453453516304E+04 ,     0.464441085008504E+02 ,    -0.256658037434294E+00 , 
   0.08000 ,     0.160747524221685E+02 ,    -0.468161826443417E+02 ,     0.687826835114872E+01 ,    -0.680588555014775E+01 ,     0.103126657952262E+04 ,    -0.103519894876174E+04 ,    -0.781521661678903E+01 ,     0.109893947039673E+04 ,     0.344133786843140E+02 ,     0.705487104844611E+00 , 
   0.10000 ,     0.413749979892425E+01 ,    -0.168709835826471E+02 ,    -0.204093374348028E+01 ,    -0.253516433437284E+01 ,     0.290542280255321E+03 ,    -0.291156048936595E+03 ,    -0.105204883853431E+00 ,     0.306873203818249E+03 ,     0.117074675399014E+02 ,    -0.414592342222645E+00 , 
   0.12000 ,    -0.121783737037964E+02 ,     0.902431034169325E+01 ,     0.533862705328084E+01 ,     0.328588320211508E+01 ,    -0.624137367102229E+02 ,     0.377164822924284E+02 ,    -0.248146066767172E+01 ,    -0.603441597992177E+02 ,    -0.654630868883607E+01 ,    -0.205362718007532E+01 , 
   0.14000 ,    -0.162419952094454E+02 ,     0.153906391170466E+02 ,     0.940110304026236E+01 ,     0.436953190211540E+01 ,    -0.116480547645023E+03 ,     0.838590242246295E+02 ,    -0.400515965946094E+01 ,    -0.114655586925148E+03 ,    -0.102402318277193E+02 ,    -0.268460222903754E+01 , 
   0.16000 ,    -0.749154639712255E+01 ,     0.461503451492545E+01 ,     0.346579417699893E+01 ,     0.762160800141843E+00 ,    -0.383963313770579E+02 ,     0.229498029046427E+02 ,    -0.963234580142055E+00 ,    -0.376595291829264E+02 ,    -0.229541416517196E+01 ,    -0.205466549123707E+01 , 
   0.18000 ,     0.208106408043985E+01 ,    -0.791876059318653E+01 ,    -0.518334854372916E+01 ,    -0.280827837163971E+01 ,     0.303756436255036E+02 ,    -0.257424479402804E+02 ,     0.293079428688279E+01 ,     0.280711108704496E+02 ,     0.593119359716253E+01 ,    -0.111215040799481E+01 , 
   0.20000 ,     0.232757382211249E+01 ,    -0.953605224333683E+01 ,    -0.698217475301566E+01 ,    -0.263958430010084E+01 ,     0.346316289762803E+02 ,    -0.290179601275080E+02 ,     0.314223585397903E+01 ,     0.319969666221231E+02 ,     0.615278548659938E+01 ,    -0.884794921941173E+00 , 
   0.22000 ,    -0.530930024412704E+01 ,    -0.100111965105624E+01 ,    -0.971889741241535E+00 ,     0.382870657323525E+00 ,    -0.203902264451433E+01 ,    -0.857225385462420E+01 ,    -0.169643455908082E+00 ,    -0.135948898425217E+01 ,    -0.735733980259755E-01 ,    -0.148976714451257E+01 , 
   0.24000 ,    -0.113831762524463E+02 ,     0.701911041177638E+01 ,     0.538024030989200E+01 ,     0.251775617552664E+01 ,    -0.306687999895673E+02 ,     0.669938137513801E+01 ,    -0.293124424841841E+01 ,    -0.271583333839159E+02 ,    -0.501145685354170E+01 ,    -0.217910280226052E+01 , 
   0.26000 ,    -0.959753210925005E+01 ,     0.630283575258858E+01 ,     0.520356316059347E+01 ,     0.157148803939745E+01 ,    -0.274050719699497E+02 ,     0.712160199846285E+01 ,    -0.214980458446218E+01 ,    -0.250842208532970E+02 ,    -0.370131601263269E+01 ,    -0.222530094716633E+01 , 
   0.28000 ,    -0.298342158365745E+01 ,    -0.103584650235670E+01 ,    -0.571047467224045E+00 ,    -0.991518094380954E+00 ,    -0.565287626347626E+01 ,    -0.462049886418592E-01 ,     0.925122721130063E+00 ,    -0.710223836458574E+01 ,     0.143139392135334E+01 ,    -0.166269894522593E+01 , 
   0.30000 ,     0.614273131259088E+00 ,    -0.627826145131811E+01 ,    -0.510826031952986E+01 ,    -0.213210047288030E+01 ,     0.776927730127617E+01 ,    -0.526289782076492E+01 ,     0.265636404959452E+01 ,     0.439437913488604E+01 ,     0.427924150722151E+01 ,    -0.115926097351632E+01 , 
   0.32000 ,    -0.240335381921271E+01 ,    -0.409462013518413E+01 ,    -0.360795056746733E+01 ,    -0.748494712422413E+00 ,     0.176350549051387E+01 ,    -0.576392981159390E+01 ,     0.127267382497375E+01 ,     0.350400999081562E+00 ,     0.205147598587532E+01 ,    -0.124769442593428E+01 , 
   0.34000 ,    -0.797641704521804E+01 ,     0.226281929843091E+01 ,     0.175030560022769E+01 ,     0.133832360304847E+01 ,    -0.122488095290332E+02 ,    -0.423027146782537E+01 ,    -0.137625290011051E+01 ,    -0.103547150603460E+02 ,    -0.218513426780804E+01 ,    -0.177617927910449E+01 , 
   0.36000 ,    -0.965305051160673E+01 ,     0.541083030145050E+01 ,     0.481078094203277E+01 ,     0.171347600216338E+01 ,    -0.170023466054695E+02 ,    -0.344913185339345E+01 ,    -0.221758422931972E+01 ,    -0.143532341994743E+02 ,    -0.354330996879207E+01 ,    -0.213267696537243E+01 , 
   0.38000 ,    -0.592611469133607E+01 ,     0.219945260384788E+01 ,     0.244596141505157E+01 ,     0.113699173099012E+00 ,    -0.841494388079884E+01 ,    -0.380664363561848E+01 ,    -0.469417388393600E+00 ,    -0.827892849745735E+01 ,    -0.838905811219179E+00 ,    -0.194074814311059E+01 , 
   0.40000 ,    -0.143925192210317E+01 ,    -0.328790812042687E+01 ,    -0.230499043422194E+01 ,    -0.147858757918711E+01 ,     0.238865863318041E+01 ,    -0.440438557209435E+01 ,     0.169547623895878E+01 ,    -0.200418475425684E+00 ,     0.251249300290930E+01 ,    -0.144938931895120E+01 , 
   0.42000 ,    -0.129548609887567E+01 ,    -0.481283040671636E+01 ,    -0.403569229775017E+01 ,    -0.125587430352375E+01 ,     0.318730789584424E+01 ,    -0.464360876805392E+01 ,     0.181653509304324E+01 ,     0.764865651345979E+00 ,     0.271549824405315E+01 ,    -0.121944086890526E+01 , 
