 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.908350898500839E+02 ,    -0.664717368033685E+01 ,     0.193096540340561E+03 ,     0.353992563015369E+02 ,     0.288457225421116E+04 ,    -0.326904326206449E+04 ,    -0.121420514046635E+03 ,     0.326564047255143E+04 ,     0.102236557756424E+02 ,    -0.819817839053298E+01 , 
   0.02000 ,    -0.728056651357133E+02 ,    -0.179503558842841E+02 ,     0.167900667812773E+03 ,     0.283773680610241E+02 ,     0.267909246333874E+04 ,    -0.300772223682468E+04 ,    -0.106036826106025E+03 ,     0.302466145244434E+04 ,     0.180650227412017E+02 ,    -0.670319923303114E+01 , 
   0.04000 ,    -0.317347976935770E+02 ,    -0.413094097816392E+02 ,     0.107201655795544E+03 ,     0.123718973767238E+02 ,     0.212847249816928E+04 ,    -0.232525945782977E+04 ,    -0.689203621524757E+02 ,     0.238422580537626E+04 ,     0.338957287943994E+02 ,    -0.327645491816488E+01 , 
   0.06000 ,     0.436926529611918E+01 ,    -0.547108157846103E+02 ,     0.443492478624790E+02 ,    -0.176370792864132E+01 ,     0.140340212317990E+04 ,    -0.147076407105052E+04 ,    -0.302425917997139E+02 ,     0.155401529390888E+04 ,     0.418764710005376E+02 ,    -0.229568612954474E+00 , 
   0.08000 ,     0.154974606534204E+02 ,    -0.445436179837634E+02 ,     0.686276105026391E+01 ,    -0.634811053047615E+01 ,     0.710293340850885E+03 ,    -0.711441650288765E+03 ,    -0.654089171373937E+01 ,     0.777335439588039E+03 ,     0.327633450995426E+02 ,     0.705645082213959E+00 , 
   0.10000 ,     0.391274220146404E+01 ,    -0.172658263060501E+02 ,    -0.651400299950311E+00 ,    -0.233830392316814E+01 ,     0.209800746285834E+03 ,    -0.211415802204923E+03 ,    -0.572170399994402E+00 ,     0.230439022000028E+03 ,     0.121110756945583E+02 ,    -0.396412868974045E+00 , 
   0.12000 ,    -0.118855480828760E+02 ,     0.735453297648530E+01 ,     0.629890749392443E+01 ,     0.315994908374949E+01 ,    -0.393822789876104E+02 ,     0.128734311417924E+02 ,    -0.330999962553197E+01 ,    -0.351436660550764E+02 ,    -0.541732692389964E+01 ,    -0.201115532287346E+01 , 
   0.14000 ,    -0.158429987699784E+02 ,     0.141633143065928E+02 ,     0.950081989329025E+01 ,     0.417209360950175E+01 ,    -0.846827614006896E+02 ,     0.511359245851506E+02 ,    -0.442818788922633E+01 ,    -0.834650855302474E+02 ,    -0.949322353932344E+01 ,    -0.264330736269858E+01 , 
   0.16000 ,    -0.741186952221655E+01 ,     0.466572671150405E+01 ,     0.319414193941809E+01 ,     0.734651542276948E+00 ,    -0.326993402226270E+02 ,     0.173970956364215E+02 ,    -0.905331037227951E+00 ,    -0.327651564225016E+02 ,    -0.229917438437568E+01 ,    -0.203851157090842E+01 , 
   0.18000 ,     0.183231776495885E+01 ,    -0.705105004369664E+01 ,    -0.529943843348191E+01 ,    -0.266585179121634E+01 ,     0.182675503317018E+02 ,    -0.130971965035103E+02 ,     0.316386623147316E+01 ,     0.165494176625497E+02 ,     0.552232194032418E+01 ,    -0.111955377866986E+01 , 
   0.20000 ,     0.208193201034641E+01 ,    -0.890629613134221E+01 ,    -0.686355226818873E+01 ,    -0.251086530429762E+01 ,     0.247245028175459E+02 ,    -0.188274260822097E+02 ,     0.325896674414893E+01 ,     0.232557387820345E+02 ,     0.589317000613777E+01 ,    -0.894705669662457E+00 , 
   0.22000 ,    -0.528598212998169E+01 ,    -0.117618619414810E+01 ,    -0.852265947448316E+00 ,     0.361580873611185E+00 ,    -0.544692068485172E+00 ,    -0.101673890215624E+02 ,    -0.234998522078295E+00 ,     0.331416631967175E+00 ,     0.489539511075200E-01 ,    -0.148617452241867E+01 , 
   0.24000 ,    -0.111578551455388E+02 ,     0.639129941164568E+01 ,     0.533771480601389E+01 ,     0.239509695846077E+01 ,    -0.227342720899848E+02 ,    -0.144336311357768E+01 ,    -0.305938503506793E+01 ,    -0.202308733143073E+02 ,    -0.471508295289741E+01 ,    -0.216594817380338E+01 , 
   0.26000 ,    -0.944573239218870E+01 ,     0.596978443834887E+01 ,     0.507396311587423E+01 ,     0.149894530793269E+01 ,    -0.223101281150872E+02 ,     0.198668605864431E+01 ,    -0.220637178546555E+01 ,    -0.209847230378491E+02 ,    -0.356951008376908E+01 ,    -0.221798715390968E+01 , 
