 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.931686887425953E+02 ,    -0.200989870593088E+02 ,     0.211369202024599E+03 ,     0.359307457609272E+02 ,     0.419502532613536E+04 ,    -0.462414972393188E+04 ,    -0.131491557020558E+03 ,     0.464076138444028E+04 ,     0.183016018761110E+02 ,    -0.886554554922371E+01 , 
   0.02000 ,    -0.746793347743569E+02 ,    -0.308488614785198E+02 ,     0.184563868878884E+03 ,     0.287682649010378E+02 ,     0.388951417181028E+04 ,    -0.425611425637954E+04 ,    -0.115377806953882E+03 ,     0.429127993720145E+04 ,     0.257884681767830E+02 ,    -0.725374376308615E+01 , 
   0.04000 ,    -0.325595318649718E+02 ,    -0.524842088734696E+02 ,     0.119741996369770E+03 ,     0.124511346166957E+02 ,     0.307368805982062E+04 ,    -0.329270052276286E+04 ,    -0.763372958113523E+02 ,     0.336534069516065E+04 ,     0.405448837275728E+02 ,    -0.355721961052715E+01 , 
   0.06000 ,     0.447374954119226E+01 ,    -0.630205473431118E+02 ,     0.519366638774228E+02 ,    -0.193522909538084E+01 ,     0.200685140049736E+04 ,    -0.208107888634237E+04 ,    -0.351998340037811E+02 ,     0.217260470531524E+04 ,     0.468043638009716E+02 ,    -0.262136851333598E+00 , 
   0.08000 ,     0.159116120392632E+02 ,    -0.493490464793509E+02 ,     0.103473784757060E+02 ,    -0.655648646805893E+01 ,     0.997916465052226E+03 ,    -0.998236609768183E+03 ,    -0.922515886815847E+01 ,     0.106802533203326E+04 ,     0.356509842282865E+02 ,     0.772138405252918E+00 , 
   0.10000 ,     0.408071516221401E+01 ,    -0.189141053181904E+02 ,     0.422885113564702E+00 ,    -0.241036247708630E+01 ,     0.280816183848507E+03 ,    -0.281899372078483E+03 ,    -0.164558104454820E+01 ,     0.302313373562815E+03 ,     0.131958338243350E+02 ,    -0.372240345380609E+00 , 
   0.12000 ,    -0.120594203483345E+02 ,     0.757719534334094E+01 ,     0.648637847147324E+01 ,     0.323079093944621E+01 ,    -0.664073185054478E+02 ,     0.373409636215232E+02 ,    -0.353681200852484E+01 ,    -0.591480682409498E+02 ,    -0.540814975947213E+01 ,    -0.206269149835131E+01 , 
   0.14000 ,    -0.160735972511694E+02 ,     0.147323948058102E+02 ,     0.960249238136095E+01 ,     0.426765747187933E+01 ,    -0.121306634571742E+03 ,     0.844634614367350E+02 ,    -0.438417616972687E+01 ,    -0.116532162108418E+03 ,    -0.973619703473816E+01 ,    -0.270806040212869E+01 , 
   0.16000 ,    -0.742446611775460E+01 ,     0.467599634048733E+01 ,     0.335837837403354E+01 ,     0.753482489194690E+00 ,    -0.425748704193263E+02 ,     0.264281936899187E+02 ,    -0.875000855034794E+00 ,    -0.416682027961063E+02 ,    -0.231520866584783E+01 ,    -0.204932909991859E+01 , 
   0.18000 ,     0.202160965466826E+01 ,    -0.755197987580135E+01 ,    -0.518173150526335E+01 ,    -0.271735545800014E+01 ,     0.293237148414824E+02 ,    -0.222723374951099E+02 ,     0.312816945915234E+01 ,     0.256532223820612E+02 ,     0.572447526452026E+01 ,    -0.107613476896737E+01 , 
   0.20000 ,     0.224034420639219E+01 ,    -0.933194986406015E+01 ,    -0.684620679203780E+01 ,    -0.255374214258810E+01 ,     0.361320773258564E+02 ,    -0.281429344031860E+02 ,     0.321110197057718E+01 ,     0.324061581417357E+02 ,     0.604957669430867E+01 ,    -0.852438556893788E+00 , 
   0.22000 ,    -0.532263054566293E+01 ,    -0.112474208981861E+01 ,    -0.879830319083094E+00 ,     0.378262543597864E+00 ,    -0.593994488109648E+00 ,    -0.100853760596688E+02 ,    -0.241812441717840E+00 ,     0.195012858165772E+00 ,    -0.366061104141160E-02 ,    -0.148958979239691E+01 , 
   0.24000 ,    -0.113193200759480E+02 ,     0.676804307999889E+01 ,     0.533070927555636E+01 ,     0.244408033122614E+01 ,    -0.308180624562160E+02 ,     0.489249312764979E+01 ,    -0.302083977527575E+01 ,    -0.264384488791754E+02 ,    -0.488765583317064E+01 ,    -0.220402693884624E+01 , 
   0.26000 ,    -0.953665814027630E+01 ,     0.621216573091792E+01 ,     0.509440868602010E+01 ,     0.151870874446660E+01 ,    -0.283630617464029E+02 ,     0.664478758797166E+01 ,    -0.215911758809931E+01 ,    -0.254671352148453E+02 ,    -0.366175425511185E+01 ,    -0.224425294757352E+01 , 
   0.28000 ,    -0.299196000753177E+01 ,    -0.900657042371020E+00 ,    -0.603220626916678E+00 ,    -0.969834650287241E+00 ,    -0.583034021752953E+01 ,     0.679925244979631E+00 ,     0.982249533444928E+00 ,    -0.752909523104165E+01 ,     0.136769125492958E+01 ,    -0.165601708601503E+01 , 
   0.30000 ,     0.551547766708060E+00 ,    -0.610374544336521E+01 ,    -0.503599582051008E+01 ,    -0.207069889112664E+01 ,     0.867975390636031E+01 ,    -0.452081171521096E+01 ,     0.269733562140254E+01 ,     0.464576704696721E+01 ,     0.420490059189274E+01 ,    -0.113779086307042E+01 , 
   0.32000 ,    -0.245044913819949E+01 ,    -0.407780086868996E+01 ,    -0.353217167018097E+01 ,    -0.721223398086915E+00 ,     0.251098945245721E+01 ,    -0.571458181151936E+01 ,     0.124667418817119E+01 ,     0.812700552580076E+00 ,     0.205435400695748E+01 ,    -0.123733527699133E+01 , 
   0.34000 ,    -0.796432613354310E+01 ,     0.213530983702477E+01 ,     0.172447073603025E+01 ,     0.130357356154260E+01 ,    -0.129290886413236E+02 ,    -0.440319840950603E+01 ,    -0.143861314892456E+01 ,    -0.106557109594452E+02 ,    -0.211465245302903E+01 ,    -0.178816798321526E+01 , 
   0.36000 ,    -0.960716969002025E+01 ,     0.532555755321261E+01 ,     0.468917250431890E+01 ,     0.165993180078062E+01 ,    -0.189767988137096E+02 ,    -0.288224703670763E+01 ,    -0.224599757118865E+01 ,    -0.157300076513592E+02 ,    -0.349130532706533E+01 ,    -0.215285693540394E+01 , 
   0.38000 ,    -0.590475942847607E+01 ,     0.228768155328204E+01 ,     0.232982444841028E+01 ,     0.100592422274528E+00 ,    -0.103929934784114E+02 ,    -0.220287246744551E+01 ,    -0.431703759542166E+00 ,    -0.100742915835047E+02 ,    -0.868766971376536E+00 ,    -0.194736975444636E+01 , 
   0.40000 ,    -0.146656758612598E+01 ,    -0.309939512549480E+01 ,    -0.233278485393571E+01 ,    -0.144269427844600E+01 ,     0.143611296360303E+01 ,    -0.249765419495946E+01 ,     0.176324582825489E+01 ,    -0.151942470678725E+01 ,     0.242607875857986E+01 ,    -0.143740772418561E+01 , 
   0.42000 ,    -0.133894187353599E+01 ,    -0.471134314853632E+01 ,    -0.399024539218406E+01 ,    -0.121722326301949E+01 ,     0.310749787310587E+01 ,    -0.347457084023289E+01 ,     0.185310960971452E+01 ,     0.226865874463467E+00 ,     0.265362052171370E+01 ,    -0.120434783864432E+01 , 
   0.44000 ,    -0.533978247030682E+01 ,    -0.104785461038431E+01 ,    -0.102535016665763E+01 ,     0.388125758653763E+00 ,    -0.619227145969592E+01 ,    -0.429641260486943E+01 ,    -0.102881339324373E+00 ,    -0.595972490206601E+01 ,    -0.165350473094021E+00 ,    -0.148891458585388E+01 , 
   0.46000 ,    -0.865350699908656E+01 ,     0.346990291657143E+01 ,     0.296093355730828E+01 ,     0.144329873802462E+01 ,    -0.153690959024366E+02 ,    -0.390555799411373E+01 ,    -0.175787415801816E+01 ,    -0.126598691865412E+02 ,    -0.261031045019570E+01 ,    -0.194559381302979E+01 , 
