 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.948201337005615E+02 ,     0.468197417761337E+02 ,     0.134760382347829E+03 ,     0.390403691468270E+02 ,     0.459606596437292E+03 ,    -0.735119363421862E+03 ,    -0.838770708345993E+02 ,     0.651326013530687E+03 ,    -0.160485698907837E+02 ,    -0.804020803725043E+01 , 
   0.02000 ,    -0.758784303167107E+02 ,     0.309060913607902E+02 ,     0.115368731459918E+03 ,     0.313583841357527E+02 ,     0.453759457540926E+03 ,    -0.686603758016839E+03 ,    -0.717281543693412E+02 ,     0.631179791729739E+03 ,    -0.706693065861133E+01 ,    -0.650762814992268E+01 , 
   0.04000 ,    -0.327405042173724E+02 ,    -0.462280979182903E+01 ,     0.695484759720950E+02 ,     0.138281851795876E+02 ,     0.425989211680049E+03 ,    -0.559447795501385E+03 ,    -0.431005942014210E+02 ,     0.566544002078643E+03 ,     0.124222693170245E+02 ,    -0.301028251458820E+01 , 
   0.06000 ,     0.514670215180344E+01 ,    -0.335180375148023E+02 ,     0.245212002919205E+02 ,    -0.170945110028949E+01 ,     0.358236747245924E+03 ,    -0.397844105814803E+03 ,    -0.151185693308902E+02 ,     0.453611799730234E+03 ,     0.266796984601877E+02 ,     0.541079275712353E-01 , 
   0.08000 ,     0.167537182195622E+02 ,    -0.372502528060954E+02 ,     0.150522901378019E+01 ,    -0.684671017758138E+01 ,     0.249516046204498E+03 ,    -0.247258729992729E+03 ,    -0.900294992984607E+00 ,     0.305367570029693E+03 ,     0.253520255607214E+02 ,     0.906509945921421E+00 , 
   0.10000 ,     0.447671279004901E+01 ,    -0.187887888868188E+02 ,     0.174856841259687E+01 ,    -0.257586815749951E+01 ,     0.127183057805938E+03 ,    -0.134179544900933E+03 ,    -0.923495282999142E+00 ,     0.156090227566360E+03 ,     0.115889388394953E+02 ,    -0.340597346011387E+00 , 
   0.12000 ,    -0.122130186494645E+02 ,     0.287839381688783E+01 ,     0.102724892820741E+02 ,     0.339028191217517E+01 ,     0.316769433118893E+02 ,    -0.622177254711860E+02 ,    -0.578767767394953E+01 ,     0.453365996628583E+02 ,    -0.227108129842975E+01 ,    -0.207198601325446E+01 , 
   0.14000 ,    -0.164187863778210E+02 ,     0.108492414230916E+02 ,     0.118427305908720E+02 ,     0.452597510464837E+01 ,    -0.122872660726384E+02 ,    -0.221094336853378E+02 ,    -0.639846407854948E+01 ,    -0.666532066733737E+01 ,    -0.643374941694972E+01 ,    -0.272827449393468E+01 , 
   0.16000 ,    -0.755911524290461E+01 ,     0.378804046174343E+01 ,     0.369610947746886E+01 ,     0.821972005094735E+00 ,    -0.120265429465671E+02 ,    -0.353051250686322E+01 ,    -0.153299906159439E+01 ,    -0.107555623728831E+02 ,    -0.142666827425222E+01 ,    -0.206847433997152E+01 , 
   0.18000 ,     0.218557971078330E+01 ,    -0.641221585638238E+01 ,    -0.547549370343995E+01 ,    -0.287334267177888E+01 ,     0.319690451534082E+01 ,     0.590134035048719E+00 ,     0.341276607966657E+01 ,     0.262145844433036E+01 ,     0.457384320864272E+01 ,    -0.108503605389428E+01 , 
