 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.909239197210641E+02 ,     0.407487908080817E+02 ,     0.138842911231405E+03 ,     0.386675874515364E+02 ,     0.448230909813413E+03 ,    -0.745563932796919E+03 ,    -0.866623802038401E+02 ,     0.653948089396944E+03 ,    -0.156226421243872E+02 ,    -0.804800279932234E+01 , 
   0.02000 ,    -0.727426299932452E+02 ,     0.258897908842698E+02 ,     0.118869222667472E+03 ,     0.310903421458291E+02 ,     0.439937186893603E+03 ,    -0.690641502114082E+03 ,    -0.740788646256933E+02 ,     0.629650886667074E+03 ,    -0.654586288260402E+01 ,    -0.649679120998539E+01 , 
   0.04000 ,    -0.313511809908644E+02 ,    -0.717182799937922E+01 ,     0.716411881069986E+02 ,     0.137888916379802E+02 ,     0.406754947709077E+03 ,    -0.548921204086374E+03 ,    -0.444248884739218E+02 ,     0.555422913830402E+03 ,     0.131096132369685E+02 ,    -0.296357894988563E+01 , 
   0.06000 ,     0.495974855486570E+01 ,    -0.337218829512180E+02 ,     0.251512381713704E+02 ,    -0.157450202436170E+01 ,     0.335013134344869E+03 ,    -0.374904889730231E+03 ,    -0.154377182272119E+02 ,     0.433985578268878E+03 ,     0.273717562561714E+02 ,     0.114391527955040E+00 , 
   0.08000 ,     0.160032538016031E+02 ,    -0.364231564031777E+02 ,     0.128465076593457E+01 ,    -0.670508471463695E+01 ,     0.227426013062340E+03 ,    -0.222134768853732E+03 ,    -0.718605056919323E+00 ,     0.283920341361453E+03 ,     0.257861100097241E+02 ,     0.939491478757322E+00 , 
   0.10000 ,     0.411602709983946E+01 ,    -0.182957171992536E+02 ,     0.144390907505033E+01 ,    -0.255397882556187E+01 ,     0.111776443234984E+03 ,    -0.117341870001185E+03 ,    -0.782637594549845E+00 ,     0.140470738460621E+03 ,     0.116458541297423E+02 ,    -0.354704040559288E+00 , 
   0.12000 ,    -0.119624268307318E+02 ,     0.256479735467864E+01 ,     0.103021143140266E+02 ,     0.330347553126571E+01 ,     0.254647475336128E+02 ,    -0.574588690665140E+02 ,    -0.589647444120485E+01 ,     0.393328627737691E+02 ,    -0.245537781107550E+01 ,    -0.211358545999778E+01 , 
   0.14000 ,    -0.159933874401769E+02 ,     0.101888546501062E+02 ,     0.121372055927133E+02 ,     0.443806450416932E+01 ,    -0.110970329584815E+02 ,    -0.255648073322359E+02 ,    -0.661247933758806E+01 ,    -0.480691769280805E+01 ,    -0.659656333088643E+01 ,    -0.275870649513566E+01 , 
   0.16000 ,    -0.744660402135725E+01 ,     0.346559455746406E+01 ,     0.394211875000867E+01 ,     0.816537695490005E+00 ,    -0.793185436207630E+01 ,    -0.828552709889190E+01 ,    -0.162121643087165E+01 ,    -0.614763064631401E+01 ,    -0.141196135273876E+01 ,    -0.206669619350890E+01 , 
   0.18000 ,     0.193550285180186E+01 ,    -0.618481646796092E+01 ,    -0.548418987739463E+01 ,    -0.281170854787684E+01 ,     0.604025620136093E+01 ,    -0.103633534138367E+01 ,     0.350896149652342E+01 ,     0.542074734684422E+01 ,     0.470714351890886E+01 ,    -0.106364217142363E+01 , 
