 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.898552282656239E+02 ,     0.489780794296976E+02 ,     0.128562791864584E+03 ,     0.380022746382865E+02 ,     0.213907782520743E+03 ,    -0.503009239269875E+03 ,    -0.810443855601180E+02 ,     0.379856520681741E+03 ,    -0.242950170989321E+02 ,    -0.880409415691232E+01 , 
   0.02000 ,    -0.718704813980079E+02 ,     0.334755341028449E+02 ,     0.109657185675803E+03 ,     0.305727871805780E+02 ,     0.228664265466365E+03 ,    -0.470672201188453E+03 ,    -0.687626855445224E+02 ,     0.382375823297672E+03 ,    -0.143044293013539E+02 ,    -0.709692806722696E+01 , 
   0.04000 ,    -0.309281540976892E+02 ,    -0.137830210366285E+01 ,     0.651903684889607E+02 ,     0.136069515731056E+02 ,     0.254876726143619E+03 ,    -0.387849848172821E+03 ,    -0.400404654430698E+02 ,     0.377282951646591E+03 ,     0.768268260181330E+01 ,    -0.320768513545418E+01 , 
   0.06000 ,     0.498326551693634E+01 ,    -0.304359834133520E+02 ,     0.220660411829460E+02 ,    -0.146359830770156E+01 ,     0.255122051159438E+03 ,    -0.287012369343214E+03 ,    -0.125742389779129E+02 ,     0.339758168451444E+03 ,     0.247134966134411E+02 ,     0.185838295384710E+00 , 
   0.08000 ,     0.158926411521695E+02 ,    -0.356640562950259E+02 ,     0.100426174739878E+01 ,    -0.650657367308107E+01 ,     0.207221958158751E+03 ,    -0.197425138500666E+03 ,     0.343221000946847E+00 ,     0.259517579257060E+03 ,     0.253483034237081E+02 ,     0.111409253477867E+01 , 
   0.10000 ,     0.411263404536245E+01 ,    -0.193388927599505E+02 ,     0.271400127740799E+01 ,    -0.245134198018711E+01 ,     0.124817731224978E+03 ,    -0.130273917340018E+03 ,    -0.123977205671665E+01 ,     0.155361252837767E+03 ,     0.123816516075184E+02 ,    -0.270719395057169E+00 , 
   0.12000 ,    -0.118151916151160E+02 ,     0.875452288517207E+00 ,     0.118645498821527E+02 ,     0.327898860995982E+01 ,     0.459798191883681E+02 ,    -0.807933186680861E+02 ,    -0.708425114545542E+01 ,     0.636237191441732E+02 ,    -0.148923182544494E+01 ,    -0.215722790800143E+01 , 
   0.14000 ,    -0.158226768808354E+02 ,     0.887804030746439E+01 ,     0.132358617244510E+02 ,     0.438261153574837E+01 ,     0.191804672644781E+01 ,    -0.415482570300133E+02 ,    -0.765778656225198E+01 ,     0.113025889608820E+02 ,    -0.589361133010271E+01 ,    -0.283184654634658E+01 , 
   0.16000 ,    -0.738329304979039E+01 ,     0.296333156223008E+01 ,     0.442730091466668E+01 ,     0.825504295382680E+00 ,    -0.514527907329153E+01 ,    -0.122038249872832E+02 ,    -0.205264230842889E+01 ,    -0.176423912892103E+01 ,    -0.103978769323870E+01 ,    -0.206791915833959E+01 , 
   0.18000 ,     0.188597145970170E+01 ,    -0.608983410759415E+01 ,    -0.538741741081367E+01 ,    -0.273795585053924E+01 ,     0.303195431071142E+01 ,     0.262716033856286E+01 ,     0.359319802277614E+01 ,     0.285047267895430E+01 ,     0.487245946503373E+01 ,    -0.989649566919699E+00 , 
   0.20000 ,     0.214214747638359E+01 ,    -0.761844483082631E+01 ,    -0.705534936686970E+01 ,    -0.261163031845546E+01 ,     0.433759317531979E+01 ,     0.237276684595722E+01 ,     0.392243412498777E+01 ,     0.356618995658193E+01 ,     0.499274077798239E+01 ,    -0.760576080021315E+00 , 
   0.22000 ,    -0.524727157594831E+01 ,    -0.107131124340512E+01 ,    -0.765389018020245E+00 ,     0.369547730571290E+00 ,    -0.549126962734723E+01 ,    -0.519481688428948E+01 ,    -0.193797693119931E+00 ,    -0.496258397396305E+01 ,     0.451587224078108E-01 ,    -0.147407022948625E+01 , 
   0.24000 ,    -0.111524413460029E+02 ,     0.552921163261832E+01 ,     0.548047328204131E+01 ,     0.250601424862179E+01 ,    -0.152646415238603E+02 ,    -0.944993932317329E+01 ,    -0.351965805804354E+01 ,    -0.137594644455631E+02 ,    -0.399239951521101E+01 ,    -0.225295885509013E+01 , 
   0.26000 ,    -0.946094904457915E+01 ,     0.527826341540322E+01 ,     0.506611711441531E+01 ,     0.159139224719711E+01 ,    -0.146824644384240E+02 ,    -0.602070550762269E+01 ,    -0.254498969618579E+01 ,    -0.138189108440942E+02 ,    -0.303419943476036E+01 ,    -0.228334322372858E+01 , 
   0.28000 ,    -0.307413304336583E+01 ,    -0.604161140685755E+00 ,    -0.694300082600765E+00 ,    -0.956577082234423E+00 ,    -0.587533216472462E+01 ,     0.436293814470744E+00 ,     0.110266845854170E+01 ,    -0.654365914155535E+01 ,     0.110578756954781E+01 ,    -0.163680936702056E+01 , 
   0.30000 ,     0.426525339591638E+00 ,    -0.512876848535289E+01 ,    -0.499521620465546E+01 ,    -0.212145188228539E+01 ,     0.510003299829687E+00 ,     0.250923284667047E+01 ,     0.311516554487113E+01 ,    -0.890978466960569E+00 ,     0.348101371466414E+01 ,    -0.108410532672790E+01 , 
   0.32000 ,    -0.246611589471287E+01 ,    -0.360476134748422E+01 ,    -0.337468679470896E+01 ,    -0.774289853923985E+00 ,    -0.210615626948859E+01 ,    -0.170247471011715E+01 ,     0.148500054638426E+01 ,    -0.273934228968270E+01 ,     0.171556234371206E+01 ,    -0.120860477049601E+01 , 
   0.34000 ,    -0.785680461157627E+01 ,     0.165289608111516E+01 ,     0.180553390798067E+01 ,     0.130657574776440E+01 ,    -0.968363195913090E+01 ,    -0.705391908486809E+01 ,    -0.158924982008222E+01 ,    -0.902130154458083E+01 ,    -0.176407999045123E+01 ,    -0.181022521656248E+01 , 
   0.36000 ,    -0.950747533286365E+01 ,     0.454823743284022E+01 ,     0.458013492993987E+01 ,     0.171251004066804E+01 ,    -0.132939647411130E+02 ,    -0.754166581970409E+01 ,    -0.256156738791087E+01 ,    -0.122594285170237E+02 ,    -0.293006915983750E+01 ,    -0.219397256998723E+01 , 
   0.38000 ,    -0.592998926379521E+01 ,     0.213807129069507E+01 ,     0.213569866892861E+01 ,     0.142756929398001E+00 ,    -0.946011193701992E+01 ,    -0.292178402493867E+01 ,    -0.560902869473985E+00 ,    -0.929222533226120E+01 ,    -0.729936292100270E+00 ,    -0.195947153199475E+01 , 
   0.40000 ,    -0.158580832617510E+01 ,    -0.247036453519717E+01 ,    -0.242401808257532E+01 ,    -0.145636209204544E+01 ,    -0.335641050429936E+01 ,     0.143471993943688E+01 ,     0.191158329007507E+01 ,    -0.423199761536181E+01 ,     0.206243536736394E+01 ,    -0.141032866753629E+01 , 
   0.42000 ,    -0.141503371516710E+01 ,    -0.401355054325099E+01 ,    -0.393312340778750E+01 ,    -0.126881259379195E+01 ,    -0.214623440494680E+01 ,     0.807090686404052E+00 ,     0.205590812423187E+01 ,    -0.308178476833313E+01 ,     0.227509811965895E+01 ,    -0.117280203030448E+01 , 
   0.44000 ,    -0.529080716155751E+01 ,    -0.998078646326370E+00 ,    -0.957967931743768E+00 ,     0.357478489970928E+00 ,    -0.678121021544430E+01 ,    -0.374667849687092E+01 ,    -0.950576565985844E-01 ,    -0.681431814801196E+01 ,    -0.112825911007518E+00 ,    -0.148955753852015E+01 , 
   0.46000 ,    -0.854440703897227E+01 ,     0.292974657517775E+01 ,     0.289651550696355E+01 ,     0.146700845606175E+01 ,    -0.114812098055395E+02 ,    -0.694299916838297E+01 ,    -0.194325406871585E+01 ,    -0.107310712949694E+02 ,    -0.221706041987518E+01 ,    -0.197617148741503E+01 , 
   0.48000 ,    -0.752677184370181E+01 ,     0.334689409938432E+01 ,     0.328658145195420E+01 ,     0.825852345557502E+00 ,    -0.108054770706277E+02 ,    -0.537965465467387E+01 ,    -0.142405541834273E+01 ,    -0.102540813968094E+02 ,    -0.169847517374813E+01 ,    -0.208024353563422E+01 , 
   0.50000 ,    -0.365084692985881E+01 ,    -0.416897456013861E-02 ,    -0.262580288848520E-01 ,    -0.723636019664259E+00 ,    -0.579864642266290E+01 ,    -0.118274806793337E+01 ,     0.719790970468479E+00 ,    -0.613191809083882E+01 ,     0.663072747571350E+00 ,    -0.170253487340963E+01 , 
   0.52000 ,    -0.148625066493340E+01 ,    -0.316773559263224E+01 ,    -0.314316555612992E+01 ,    -0.135014964780804E+01 ,    -0.237876080647127E+01 ,     0.701674928673590E+00 ,     0.196347605060580E+01 ,    -0.324123601045749E+01 ,     0.206903089568368E+01 ,    -0.128692278519988E+01 , 
   0.54000 ,    -0.340569156354938E+01 ,    -0.260336135005975E+01 ,    -0.258099915670833E+01 ,    -0.381758567510035E+00 ,    -0.431051974687822E+01 ,    -0.179255019062884E+01 ,     0.956117340610948E+00 ,    -0.477300154535469E+01 ,     0.986506683427341E+00 ,    -0.130194583712114E+01 , 
   0.56000 ,    -0.700871918700526E+01 ,     0.878983345017225E+00 ,     0.862300772331419E+00 ,     0.986565004451577E+00 ,    -0.904125491579918E+01 ,    -0.567894727850615E+01 ,    -0.102717413481603E+01 ,    -0.867810027075873E+01 ,    -0.120666771246849E+01 ,    -0.171440714513595E+01 , 
   0.58000 ,    -0.808764084134570E+01 ,     0.322090409414006E+01 ,     0.319241760405273E+01 ,     0.115590354381947E+01 ,    -0.109469825917144E+02 ,    -0.653425322072889E+01 ,    -0.167647604187445E+01 ,    -0.102800732277122E+02 ,    -0.195702478582818E+01 ,    -0.204359138614193E+01 , 
   0.60000 ,    -0.550692811619044E+01 ,     0.180795914374528E+01 ,     0.183214381758796E+01 ,    -0.206573672840979E-01 ,    -0.790354311541106E+01 ,    -0.357503304293424E+01 ,    -0.316974974022296E+00 ,    -0.775614759474523E+01 ,    -0.494044910282364E+00 ,    -0.191737461571487E+01 , 
   0.62000 ,    -0.237075980404153E+01 ,    -0.163894964770725E+01 ,    -0.153326245205796E+01 ,    -0.113046930994003E+01 ,    -0.354515103841493E+01 ,    -0.408625018441744E+00 ,     0.141058300037811E+01 ,    -0.409697346203191E+01 ,     0.139332268919394E+01 ,    -0.149057514496301E+01 , 
