 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.40000 ,    -0.146403584127733E+01 ,    -0.260176347619235E+01 ,    -0.240104261995848E+01 ,    -0.151356698466164E+01 ,    -0.366138981933605E+01 ,     0.621784549223069E+00 ,     0.182492847261371E+01 ,    -0.457639488063938E+01 ,     0.201374077105024E+01 ,    -0.145648948598400E+01 , 
   0.42000 ,    -0.127752580443248E+01 ,    -0.414934653113316E+01 ,    -0.391283584375989E+01 ,    -0.132084949148223E+01 ,    -0.270036963663072E+01 ,     0.142822046602786E+00 ,     0.197048379662338E+01 ,    -0.361806860714178E+01 ,     0.220991436630863E+01 ,    -0.122097970778170E+01 , 
   0.44000 ,    -0.528877603003060E+01 ,    -0.981601832687336E+00 ,    -0.965796912570729E+00 ,     0.368735355000984E+00 ,    -0.687538710934433E+01 ,    -0.360684783685082E+01 ,    -0.749680242575723E-01 ,    -0.683535112422985E+01 ,    -0.129200113955910E+00 ,    -0.148560843378081E+01 , 
   0.46000 ,    -0.866515906074640E+01 ,     0.306847861701247E+01 ,     0.287153805682306E+01 ,     0.152316807335490E+01 ,    -0.109405928631607E+02 ,    -0.633682236224212E+01 ,    -0.184448938647718E+01 ,    -0.101408328442131E+02 ,    -0.217495062345104E+01 ,    -0.192908268601909E+01 , 
   0.48000 ,    -0.762206084456247E+01 ,     0.344496682536260E+01 ,     0.327218044301543E+01 ,     0.858997664908351E+00 ,    -0.102257266194769E+02 ,    -0.508744583287356E+01 ,    -0.136261941465264E+01 ,    -0.971148209558961E+01 ,    -0.165115081956535E+01 ,    -0.204695872929279E+01 , 
   0.50000 ,    -0.361404924129713E+01 ,    -0.491465541623048E-01 ,    -0.184748936028784E-01 ,    -0.750310486584496E+00 ,    -0.583801282188733E+01 ,    -0.149934158120623E+01 ,     0.677868510991815E+00 ,    -0.626161551172547E+01 ,     0.661539781883271E+00 ,    -0.172039835258254E+01 , 
   0.52000 ,    -0.136882443678421E+01 ,    -0.329098059493371E+01 ,    -0.312633141413885E+01 ,    -0.140290128607182E+01 ,    -0.297077594570016E+01 ,     0.211783780905688E+00 ,     0.187509672176605E+01 ,    -0.388125502095485E+01 ,     0.202167266251395E+01 ,    -0.133322844632237E+01 , 
   0.54000 ,    -0.334729187991367E+01 ,    -0.266194259286363E+01 ,    -0.257280991819932E+01 ,    -0.399489894231243E+00 ,    -0.473057738252963E+01 ,    -0.189839966115974E+01 ,     0.930339287228676E+00 ,    -0.515284954183405E+01 ,     0.943981686797835E+00 ,    -0.132377330413228E+01 , 
   0.56000 ,    -0.707292976864706E+01 ,     0.938695822583518E+00 ,     0.860900419855281E+00 ,     0.102114065929026E+01 ,    -0.873329028708469E+01 ,    -0.539554705935492E+01 ,    -0.955122805365866E+00 ,    -0.829690454442479E+01 ,    -0.120656736343006E+01 ,    -0.169018642911703E+01 , 
   0.58000 ,    -0.819461544105681E+01 ,     0.331107951648896E+01 ,     0.319524960282053E+01 ,     0.119958251742105E+01 ,    -0.101373766640372E+02 ,    -0.637959264183901E+01 ,    -0.158137887675174E+01 ,    -0.944948233869273E+01 ,    -0.192967141719900E+01 ,    -0.200502654880680E+01 , 
   0.60000 ,    -0.553254566428142E+01 ,     0.181115805155521E+01 ,     0.184807922204716E+01 ,    -0.184754802263617E-01 ,    -0.730739551216870E+01 ,    -0.395695851758019E+01 ,    -0.294062585148158E+00 ,    -0.720337874075584E+01 ,    -0.485467061657313E+00 ,    -0.190975442500667E+01 , 
   0.62000 ,    -0.228999160429608E+01 ,    -0.173265863514098E+01 ,    -0.151244197378420E+01 ,    -0.116972992086898E+01 ,    -0.353594232134855E+01 ,    -0.115697477257159E+01 ,     0.135376230780006E+01 ,    -0.412814346024694E+01 ,     0.136092303094968E+01 ,    -0.152030214710768E+01 , 
   0.64000 ,    -0.221483351337658E+01 ,    -0.323889672191140E+01 ,    -0.299668644495362E+01 ,    -0.924306308936078E+00 ,    -0.305457239963997E+01 ,    -0.135690729992505E+01 ,     0.147287527221281E+01 ,    -0.366429078468720E+01 ,     0.147218938751054E+01 ,    -0.128606421218899E+01 , 
