 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.967110707129366E+02 ,     0.323318207224358E+02 ,     0.145981186978242E+03 ,     0.392741359124576E+02 ,     0.769419607048849E+03 ,    -0.107454961319923E+04 ,    -0.908712447886796E+02 ,     0.101115888575952E+04 ,    -0.809427431888279E+01 ,    -0.809365779891736E+01 , 
   0.02000 ,    -0.773789338636834E+02 ,     0.179541492221052E+02 ,     0.125733192545460E+03 ,     0.315498720218058E+02 ,     0.738061675287295E+03 ,    -0.997227653234907E+03 ,    -0.784034360671575E+02 ,     0.960864426551537E+03 ,     0.392367722787621E+00 ,    -0.654372710043339E+01 , 
   0.04000 ,    -0.333527678555395E+02 ,    -0.137451281824287E+02 ,     0.776313128927056E+02 ,     0.139203227735761E+02 ,     0.643811036263419E+03 ,    -0.795465177096280E+03 ,    -0.488050547358749E+02 ,     0.817926660681542E+03 ,     0.185016909121169E+02 ,    -0.300936061405403E+01 , 
   0.06000 ,     0.531241669353301E+01 ,    -0.383185710804091E+02 ,     0.296413799131291E+02 ,    -0.171299583218553E+01 ,     0.493378444335779E+03 ,    -0.542233726918920E+03 ,    -0.192579547465988E+02 ,     0.608263369977076E+03 ,     0.308122473590827E+02 ,     0.808100974477423E-01 , 
   0.08000 ,     0.171553528807467E+02 ,    -0.388858509571253E+02 ,     0.387377319572789E+01 ,    -0.689446286503225E+01 ,     0.312491511750456E+03 ,    -0.313219675173823E+03 ,    -0.317645846395353E+01 ,     0.376433641930513E+03 ,     0.274628575662698E+02 ,     0.929479943885455E+00 , 
   0.10000 ,     0.462620054305618E+01 ,    -0.190004790692358E+02 ,     0.224584476793782E+01 ,    -0.261282579599550E+01 ,     0.144815380183520E+03 ,    -0.152223064843507E+03 ,    -0.155717208344108E+01 ,     0.175340100785304E+03 ,     0.121210156476098E+02 ,    -0.341431968089399E+00 , 
   0.12000 ,    -0.123984907585615E+02 ,     0.286102024514133E+01 ,     0.997174474688194E+01 ,     0.338570236139527E+01 ,     0.317164202463963E+02 ,    -0.624335205410627E+02 ,    -0.547004977064242E+01 ,     0.448260457625022E+02 ,    -0.255907439976653E+01 ,    -0.209141244749509E+01 , 
   0.14000 ,    -0.166746089488226E+02 ,     0.106964531860827E+02 ,     0.115343541811715E+02 ,     0.453947389338686E+01 ,    -0.124954395025839E+02 ,    -0.222489519670446E+02 ,    -0.592723572466435E+01 ,    -0.742719796530949E+01 ,    -0.682555387393454E+01 ,    -0.274522543570548E+01 , 
   0.16000 ,    -0.761465039430041E+01 ,     0.370442712608223E+01 ,     0.366257730319587E+01 ,     0.829381505011762E+00 ,    -0.791096602560333E+01 ,    -0.767270805153288E+01 ,    -0.138493188016595E+01 ,    -0.684093743519771E+01 ,    -0.154998513348163E+01 ,    -0.206862237085645E+01 , 
   0.18000 ,     0.234284360418049E+01 ,    -0.626822396715516E+01 ,    -0.535208741941877E+01 ,    -0.288032832643286E+01 ,     0.854540660140882E+01 ,    -0.431021732302052E+01 ,     0.324361859665208E+01 ,     0.784644431467461E+01 ,     0.469465940865784E+01 ,    -0.107313987008827E+01 , 
   0.20000 ,     0.264653904515731E+01 ,    -0.801461717828052E+01 ,    -0.677332258749630E+01 ,    -0.273619204099233E+01 ,     0.107199679052031E+02 ,    -0.593350475095294E+01 ,     0.338785046455952E+01 ,     0.102817356002259E+02 ,     0.498384004048369E+01 ,    -0.836380945358011E+00 , 
   0.22000 ,    -0.524997738569102E+01 ,    -0.116370929281238E+01 ,    -0.658127256172702E+00 ,     0.383305109852481E+00 ,    -0.236003389429955E+01 ,    -0.846628363195306E+01 ,    -0.243557188140909E+00 ,    -0.147210572184478E+01 ,     0.965859714737739E-01 ,    -0.147377467942911E+01 , 
   0.24000 ,    -0.115734310483361E+02 ,     0.573854618730557E+01 ,     0.536983418344360E+01 ,     0.261485502328149E+01 ,    -0.150802079294633E+02 ,    -0.815659090054869E+01 ,    -0.313201316537103E+01 ,    -0.135665907129499E+02 ,    -0.394070944082343E+01 ,    -0.219730662862480E+01 , 
   0.26000 ,    -0.977249506630344E+01 ,     0.546999594250335E+01 ,     0.493532796438665E+01 ,     0.165944787512822E+01 ,    -0.152969635388651E+02 ,    -0.417739887424855E+01 ,    -0.223602570493022E+01 ,    -0.147125437415937E+02 ,    -0.301870310910274E+01 ,    -0.224646743355364E+01 , 
   0.28000 ,    -0.294161316260896E+01 ,    -0.640124014953820E+00 ,    -0.693803412044133E+00 ,    -0.998852738950975E+00 ,    -0.585678301767766E+01 ,     0.111739265867624E+00 ,     0.994175157214711E+00 ,    -0.679157421495086E+01 ,     0.108067864092626E+01 ,    -0.165999617029278E+01 , 
   0.30000 ,     0.811287274568875E+00 ,    -0.529677587619058E+01 ,    -0.490124917824954E+01 ,    -0.221146493028872E+01 ,     0.121282423440874E+01 ,     0.529219545842878E+00 ,     0.275823770836618E+01 ,    -0.201135669431411E+00 ,     0.345008970148644E+01 ,    -0.113655150443696E+01 , 
   0.32000 ,    -0.227067701093153E+01 ,    -0.367133127819485E+01 ,    -0.332467946883510E+01 ,    -0.802970903968075E+00 ,    -0.129893849149393E+01 ,    -0.321961807238234E+01 ,     0.129523641830401E+01 ,    -0.172337774439890E+01 ,     0.172126235849390E+01 ,    -0.123043543436775E+01 , 
   0.34000 ,    -0.803085384541527E+01 ,     0.177706610539850E+01 ,     0.174632948479043E+01 ,     0.136884343099388E+01 ,    -0.915481192563241E+01 ,    -0.699733498779172E+01 ,    -0.143263870617911E+01 ,    -0.832012876364269E+01 ,    -0.171848225059957E+01 ,    -0.178140780110143E+01 , 
   0.36000 ,    -0.980374967771154E+01 ,     0.472987229914786E+01 ,     0.447781195221771E+01 ,     0.179150893067945E+01 ,    -0.130239751025933E+02 ,    -0.669879024500456E+01 ,    -0.227682715520757E+01 ,    -0.120657165425383E+02 ,    -0.288760312433605E+01 ,    -0.215177509138818E+01 , 
   0.38000 ,    -0.599313269152082E+01 ,     0.219710791495400E+01 ,     0.209491566052194E+01 ,     0.153301120520013E+00 ,    -0.925309861374766E+01 ,    -0.274434655232766E+01 ,    -0.474750212992706E+00 ,    -0.935010551660794E+01 ,    -0.734321692185721E+00 ,    -0.195132451158403E+01 , 
   0.40000 ,    -0.135584304484551E+01 ,    -0.255770903720305E+01 ,    -0.237913159975132E+01 ,    -0.151468208797584E+01 ,    -0.305936410820726E+01 ,     0.470886751343920E+00 ,     0.173446919114032E+01 ,    -0.412047332656979E+01 ,     0.201541308664362E+01 ,    -0.144048018672728E+01 , 
   0.42000 ,    -0.116412754400013E+01 ,    -0.410840580568941E+01 ,    -0.387296775347950E+01 ,    -0.131929180711358E+01 ,    -0.171389272883245E+01 ,    -0.480040892630228E+00 ,     0.185308079256001E+01 ,    -0.257168724354346E+01 ,     0.223366279029801E+01 ,    -0.120199066370504E+01 , 
   0.44000 ,    -0.528908839237939E+01 ,    -0.970943152643591E+00 ,    -0.957957648921076E+00 ,     0.375675241239674E+00 ,    -0.628147833566069E+01 ,    -0.430824843210663E+01 ,    -0.807850320786799E-01 ,    -0.607419782968277E+01 ,    -0.109108550534222E+00 ,    -0.148298341365430E+01 , 
   0.46000 ,    -0.875909007494420E+01 ,     0.305855289458799E+01 ,     0.283699889364098E+01 ,     0.153182575427656E+01 ,    -0.110810151150364E+02 ,    -0.660543545350559E+01 ,    -0.173579141817247E+01 ,    -0.101994098887268E+02 ,    -0.217959595914343E+01 ,    -0.194218717290462E+01 , 
   0.48000 ,    -0.768542132935502E+01 ,     0.344840689016540E+01 ,     0.323088578756675E+01 ,     0.864139012271630E+00 ,    -0.106679701201823E+02 ,    -0.486220743231793E+01 ,    -0.126261434403144E+01 ,    -0.102384528978305E+02 ,    -0.167493959003424E+01 ,    -0.205749384857651E+01 , 
   0.50000 ,    -0.356722554422100E+01 ,    -0.117677325356746E-01 ,    -0.306994582596162E-01 ,    -0.749209961053954E+00 ,    -0.590950604646585E+01 ,    -0.120782683926694E+01 ,     0.668507743518993E+00 ,    -0.648893318926384E+01 ,     0.642350151302399E+00 ,    -0.171411615243394E+01 , 
