 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.40000 ,    -0.154737921099916E+01 ,    -0.263950620863542E+01 ,    -0.245541972436569E+01 ,    -0.148112380744869E+01 ,    -0.256860280238507E+01 ,     0.864563599199773E+00 ,     0.183916086799601E+01 ,    -0.382289926972805E+01 ,     0.206779722796308E+01 ,    -0.141613372300586E+01 , 
   0.42000 ,    -0.141398489495841E+01 ,    -0.416667715762247E+01 ,    -0.397456810980181E+01 ,    -0.126641430515009E+01 ,    -0.181207059930392E+01 ,     0.645168738263451E+00 ,     0.196152290265226E+01 ,    -0.311370019022436E+01 ,     0.223150250085778E+01 ,    -0.118002926193339E+01 , 
   0.44000 ,    -0.532757647923102E+01 ,    -0.963055475614596E+00 ,    -0.959155144799021E+00 ,     0.383996379956311E+00 ,    -0.735424265156465E+01 ,    -0.324988525331344E+01 ,    -0.100018717903549E+00 ,    -0.731578550267390E+01 ,    -0.160301708488746E+00 ,    -0.148970757900773E+01 , 
   0.46000 ,    -0.857479776464749E+01 ,     0.309346354369482E+01 ,     0.294272071507629E+01 ,     0.148565220157971E+01 ,    -0.124414485868939E+02 ,    -0.621635642739073E+01 ,    -0.185822681657697E+01 ,    -0.112753181218511E+02 ,    -0.221734040793938E+01 ,    -0.196921182014246E+01 , 
   0.48000 ,    -0.751480531295072E+01 ,     0.343714972305824E+01 ,     0.333119294575585E+01 ,     0.814584867007194E+00 ,    -0.113619824209555E+02 ,    -0.494710769103162E+01 ,    -0.135082838673257E+01 ,    -0.105269207635466E+02 ,    -0.165210444136822E+01 ,    -0.207367972090270E+01 , 
   0.50000 ,    -0.361206885669891E+01 ,    -0.919990866347957E-01 ,    -0.306123274419541E-01 ,    -0.750451931438734E+00 ,    -0.572312802905963E+01 ,    -0.114694410616731E+01 ,     0.698115177034112E+00 ,    -0.619950881912617E+01 ,     0.704952557196655E+00 ,    -0.170254345075000E+01 , 
   0.52000 ,    -0.147000402365314E+01 ,    -0.332948929711855E+01 ,    -0.318419748329507E+01 ,    -0.135936329009592E+01 ,    -0.208969888733799E+01 ,     0.606216270794994E+00 ,     0.187526202758114E+01 ,    -0.331218469729641E+01 ,     0.206127353667340E+01 ,    -0.129199138209054E+01 , 
   0.54000 ,    -0.343670960959551E+01 ,    -0.265941455105190E+01 ,    -0.259948442965923E+01 ,    -0.361574037062276E+00 ,    -0.426422503522731E+01 ,    -0.180188968345696E+01 ,     0.905406366619593E+00 ,    -0.486237501831161E+01 ,     0.937598932852192E+00 ,    -0.130540785300436E+01 , 
   0.56000 ,    -0.705684445912468E+01 ,     0.972884245922733E+00 ,     0.903247983985202E+00 ,     0.101231464835467E+01 ,    -0.921476233399205E+01 ,    -0.566782007372728E+01 ,    -0.978631427859775E+00 ,    -0.860804347553322E+01 ,    -0.124764325562734E+01 ,    -0.171201981127786E+01 , 
   0.58000 ,    -0.810222042171187E+01 ,     0.332989376257073E+01 ,     0.326365416999671E+01 ,     0.115649821135265E+01 ,    -0.109680286584667E+02 ,    -0.668181884785077E+01 ,    -0.157572925470934E+01 ,    -0.996728733660159E+01 ,    -0.195641700965720E+01 ,    -0.203757310316795E+01 , 
   0.60000 ,    -0.547644523255694E+01 ,     0.178294351296789E+01 ,     0.187212169755844E+01 ,    -0.456339693329687E-01 ,    -0.757530779473098E+01 ,    -0.388587712410944E+01 ,    -0.264575542494672E+00 ,    -0.737953710529379E+01 ,    -0.468493269863667E+00 ,    -0.191324312996102E+01 , 
   0.62000 ,    -0.233751125697078E+01 ,    -0.178618745020954E+01 ,    -0.154763539502177E+01 ,    -0.115030333856086E+01 ,    -0.309401904231960E+01 ,    -0.688519454579139E+00 ,     0.137157097301265E+01 ,    -0.391473961572976E+01 ,     0.140032642564894E+01 ,    -0.149109428245304E+01 , 
   0.64000 ,    -0.231630777398466E+01 ,    -0.326494254887678E+01 ,    -0.303538616863606E+01 ,    -0.880619202572060E+00 ,    -0.261442047598122E+01 ,    -0.883672404451777E+00 ,     0.145236360021772E+01 ,    -0.350178365047051E+01 ,     0.149108433473723E+01 ,    -0.125936138937387E+01 , 
   0.66000 ,    -0.533211050421510E+01 ,    -0.103260735090927E+01 ,    -0.949875849210248E+00 ,     0.403869080818772E+00 ,    -0.635456198994484E+01 ,    -0.432450083539615E+01 ,    -0.435601065982455E-01 ,    -0.634750415146326E+01 ,    -0.225039284917290E+00 ,    -0.147903879982706E+01 , 
   0.68000 ,    -0.780350016607251E+01 ,     0.227334114759005E+01 ,     0.223062874797849E+01 ,     0.117770711153958E+01 ,    -0.962230175355712E+01 ,    -0.717786448946989E+01 ,    -0.133327465898130E+01 ,    -0.884255417922034E+01 ,    -0.171091301106264E+01 ,    -0.188919935738433E+01 , 
   0.70000 ,    -0.687478029322752E+01 ,     0.286187333371355E+01 ,     0.283044296567810E+01 ,     0.552767571446310E+00 ,    -0.844766363484755E+01 ,    -0.635927824734733E+01 ,    -0.939258064431335E+00 ,    -0.790158754217668E+01 ,    -0.127663782039279E+01 ,    -0.201340471258733E+01 , 
   0.72000 ,    -0.369368091659671E+01 ,     0.127358177646311E+00 ,     0.199495187629715E+00 ,    -0.708503490578183E+00 ,    -0.419532357924404E+01 ,    -0.300526902877051E+01 ,     0.630319106123399E+00 ,    -0.458115420422487E+01 ,     0.503927805389303E+00 ,    -0.170972034327782E+01 , 
   0.74000 ,    -0.199610031146638E+01 ,    -0.272931372769403E+01 ,    -0.259224669991289E+01 ,    -0.111931116788957E+01 ,    -0.186034884086887E+01 ,    -0.105601720057106E+01 ,     0.153156373446300E+01 ,    -0.278959842308394E+01 ,     0.153614095350599E+01 ,    -0.133134519209741E+01 , 
   0.76000 ,    -0.373172910480987E+01 ,    -0.243163521446777E+01 ,    -0.232465779268220E+01 ,    -0.213640712450751E+00 ,    -0.417736405608836E+01 ,    -0.268194072330744E+01 ,     0.742900297463579E+00 ,    -0.467301338280590E+01 ,     0.658426878705784E+00 ,    -0.131576709113480E+01 , 
   0.78000 ,    -0.683229372564111E+01 ,     0.616979266098328E+00 ,     0.673022567992442E+00 ,     0.930243667860412E+00 ,    -0.845209846435805E+01 ,    -0.585292465750772E+01 ,    -0.784500779526568E+00 ,    -0.809033290849152E+01 ,    -0.105668255499072E+01 ,    -0.167831420950888E+01 , 
   0.80000 ,    -0.766502672695509E+01 ,     0.284588264453706E+01 ,     0.293039918784635E+01 ,     0.971225842974056E+00 ,    -0.974012437595386E+01 ,    -0.679000927099553E+01 ,    -0.127162046556182E+01 ,    -0.910350023581194E+01 ,    -0.160413099271601E+01 ,    -0.199520768113781E+01 , 
   0.82000 ,    -0.527079365490532E+01 ,     0.166267406499226E+01 ,     0.185302023646450E+01 ,    -0.126983354828042E+00 ,    -0.660179468553330E+01 ,    -0.438746617312370E+01 ,    -0.178321491126443E+00 ,    -0.656260008001547E+01 ,    -0.379929341367890E+00 ,    -0.189582339966051E+01 , 
   0.84000 ,    -0.245978424921659E+01 ,    -0.155962720639740E+01 ,    -0.128653696900131E+01 ,    -0.106800805179306E+01 ,    -0.273878249415054E+01 ,    -0.146982742232421E+01 ,     0.120148949074257E+01 ,    -0.344692607129784E+01 ,     0.115846430681505E+01 ,    -0.149433865824309E+01 , 
   0.86000 ,    -0.251879961417185E+01 ,    -0.308568849176195E+01 ,    -0.282620206548799E+01 ,    -0.748779798902700E+00 ,    -0.265924608894204E+01 ,    -0.146283095515998E+01 ,     0.126724249785552E+01 ,    -0.340245155078471E+01 ,     0.122029907968930E+01 ,    -0.125868952113446E+01 , 
   0.88000 ,    -0.537527477293520E+01 ,    -0.115022537852441E+01 ,    -0.957163899735925E+00 ,     0.451756847603223E+00 ,    -0.644238855053685E+01 ,    -0.437702071969513E+01 ,    -0.358085366357073E-01 ,    -0.649572417238809E+01 ,    -0.243588401224464E+00 ,    -0.146570260500561E+01 , 
