 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.00000 ,    -0.918371420303422E+02 ,     0.198706469579576E+02 ,     0.161830926534731E+03 ,     0.381452830177826E+02 ,     0.109394369059115E+04 ,    -0.144721775720866E+04 ,    -0.101324408942052E+03 ,     0.138463905892880E+04 ,    -0.870453682724935E+00 ,    -0.887126513157414E+01 , 
   0.02000 ,    -0.734775988390853E+02 ,     0.650800314301894E+01 ,     0.139861652509831E+03 ,     0.306556694758422E+02 ,     0.103823001775928E+04 ,    -0.133776504107064E+04 ,    -0.878424844333566E+02 ,     0.130404176981587E+04 ,     0.726585702586658E+01 ,    -0.715753644825996E+01 , 
   0.04000 ,    -0.316872386921676E+02 ,    -0.225701875577201E+02 ,     0.875170386149133E+02 ,     0.135593005627242E+02 ,     0.879603189299071E+03 ,    -0.105346980378377E+04 ,    -0.557037083136676E+02 ,     0.108231385146402E+04 ,     0.243307534890895E+02 ,    -0.325439042396527E+01 , 
   0.06000 ,     0.495841563260345E+01 ,    -0.439450100654288E+02 ,     0.348702210325154E+02 ,    -0.160974685983275E+01 ,     0.646727474967312E+03 ,    -0.700543474001664E+03 ,    -0.232538718708342E+02 ,     0.775042497906500E+03 ,     0.350159761695270E+02 ,     0.148755754404817E+00 , 
   0.08000 ,     0.160873711600013E+02 ,    -0.418024423001783E+02 ,     0.589238729809696E+01 ,    -0.665750430434490E+01 ,     0.390361677451195E+03 ,    -0.388241187968570E+03 ,    -0.498043145666137E+01 ,     0.458294951613040E+03 ,     0.298201943643359E+02 ,     0.107630230272543E+01 , 
   0.10000 ,     0.408869700030997E+01 ,    -0.202799938453888E+02 ,     0.303926359162522E+01 ,    -0.253920935782878E+01 ,     0.171414445301607E+03 ,    -0.177652966276045E+03 ,    -0.227825766978420E+01 ,     0.203509306547547E+03 ,     0.129540656823964E+02 ,    -0.314416107492282E+00 , 
   0.12000 ,    -0.120993171969861E+02 ,     0.220861101396038E+01 ,     0.107745089138357E+02 ,     0.324900276367330E+01 ,     0.348345927553573E+02 ,    -0.689873070815053E+02 ,    -0.591665153295606E+01 ,     0.507307089084688E+02 ,    -0.251113145087504E+01 ,    -0.220138252279380E+01 , 
   0.14000 ,    -0.161020744994327E+02 ,     0.101381845619205E+02 ,     0.124660879176297E+02 ,     0.436258490624289E+01 ,    -0.133381926813855E+02 ,    -0.260709873139895E+02 ,    -0.634889411214968E+01 ,    -0.483429459656901E+01 ,    -0.683047734676971E+01 ,    -0.286581113144338E+01 , 
   0.16000 ,    -0.743037940697129E+01 ,     0.319135693632450E+01 ,     0.428644254142998E+01 ,     0.787563833864854E+00 ,    -0.577142231380126E+01 ,    -0.114427344982686E+02 ,    -0.168427962561677E+01 ,    -0.274843711630429E+01 ,    -0.128929615434800E+01 ,    -0.208638671427897E+01 , 
   0.18000 ,     0.203311356169663E+01 ,    -0.658000683601797E+01 ,    -0.527094218568110E+01 ,    -0.277691515391050E+01 ,     0.117303100541321E+02 ,    -0.557782083252243E+01 ,     0.315906958932773E+01 ,     0.107701177576365E+02 ,     0.506832545261913E+01 ,    -0.997522525875333E+00 , 
   0.20000 ,     0.226492712865631E+01 ,    -0.805459260242953E+01 ,    -0.700075628127823E+01 ,    -0.262208190750163E+01 ,     0.113149226111569E+02 ,    -0.410244325956065E+01 ,     0.344616993503329E+01 ,     0.969919983487591E+01 ,     0.515897228898616E+01 ,    -0.767599453254497E+00 , 
